nrInnerEdges   energy   significantDigits
40   -0.263797496610526982507849425019   0
176   -0.263297957247177971673579577327   3
736   -0.263088307402397858503206862224   3
3008   -0.263020871715109016975020495011   4
12160   -0.263119535595462639143704564049   3
48896   -0.263101275412645496665220434807   4
196096   -0.263106885654341426938884751507   5
785408   -0.263108978007141836030768899946   5
3143680   -0.263108584605365347641736661899   6
12578816   -0.263108300021954732983431313187   6
