nrInnerEdges   energy   significantDigits
40   -0.334363873919242549082042614828   0
176   -0.333381163927641721578254419001   2
736   -0.334106675772725125739270879421   2
3008   -0.334129041845241447905578979771   4
12160   -0.334106775332319416715876059243   4
48896   -0.334105758206973801893724385081   5
196096   -0.334105908911802529370760339589   6
785408   -0.334105914812730941942930940058   7
3143680   -0.33410589197179851872476774588   6
12578816   -0.334105886270940732885037505184   7
