nrInnerEdges   energy   significantDigits
40   -0.372434491542605050629077823032   0
176   -0.364488131848623830855160576903   1
736   -0.368129724840823069342832241091   2
3008   -0.367924435407247452101131557356   2
12160   -0.367739658742929076407079946875   3
48896   -0.367873202431645007770555366733   3
196096   -0.367861901426770443457314740954   4
785408   -0.367836319709133274802326241115   4
3143680   -0.36782781686191506897998237946   4
12578816   -0.367827776583734500359668118108   6
50323456   -0.367827954231761067305228607438   6
201310208   -0.367828127947634531125231660553   5
805273600   -0.367828111612820196629769498031   7
