lvl,nrDof,nrIterations,time,hMax,hMin,sumL1NormOfJumps,eta,etaVol,etaJumps,energy
0,1,4,0.047046,1.4142135623731,1,0.81657330401705,6682957.70503009,6682957.12762557,0.57740452060636,-277.829984702915
1,6,4,0.022785,1,0.5,1.0625532494084,1437981.44587784,1437980.81915441,0.62672342561542,-504.063564201576
2,17,5,0.010254,0.707106781186548,0.353553390593274,1.44566991139689,413150.304353386,413149.617017576,0.687335810736251,-745.240814004187
3,28,9,0.004929,0.5,0.25,1.48771770107571,162939.04466941,162938.44429084,0.600378569959331,-835.799938844293
4,59,14,0.01578,0.5,0.176776695296637,1.58446870805109,69459.32642637,69458.8542172536,0.472209116429974,-849.027408183379
5,102,20,0.008713,0.353553390593274,0.125,1.49258621264885,24758.5586494939,24758.2227947104,0.335854783534643,-883.792444561769
6,199,39,0.017999,0.25,0.0883883476483184,1.60862222460402,9632.30603472337,9632.04559856977,0.26043615360003,-905.423552791915
7,326,37,0.031201,0.25,0.0625,1.75266949574252,4553.73630719557,4553.52302943285,0.213277762718858,-917.961535904948
8,569,33,0.03137,0.25,0.0441941738241592,2.02556935581232,1883.60991048987,1883.42683612976,0.183074360120289,-932.664155792373
9,994,38,0.051054,0.25,0.0220970869120796,2.39194071324595,814.522341765324,814.363891554255,0.158450211069412,-941.557790689534
10,1641,59,0.145981,0.125,0.0220970869120796,2.80053970443582,353.836262384191,353.695193835359,0.141068548832554,-946.594753753819
11,2753,92,0.376302,0.125,0.015625,3.19109155395497,150.595239803486,150.476853122903,0.118386680583556,-952.387549884112
12,4569,166,1.06745,0.125,0.0110485434560398,3.56533935268254,65.340834656043,65.2436868377803,0.0971478182626498,-958.184352451734
13,7759,269,3.30321,0.0883883476483184,0.0055242717280199,3.80450620382149,28.0129083116667,27.9361664174779,0.076741894188768,-962.056335372501
14,12858,463,10.161036,0.0883883476483184,0.0055242717280199,3.82570497398504,12.6464370537506,12.5873654308146,0.0590716229359716,-965.070010756035
15,22040,769,34.770514,0.0441941738241592,0.00276213586400995,3.41967142335005,5.69709386311988,5.65572163336111,0.0413722297587468,-966.428056097881
16,39232,1208,94.902644,0.0441941738241592,0.00276213586400995,3.08136919938402,2.5987365376111,2.57079215106939,0.0279443865416817,-967.920254089202
