x	y
0.000000	0.000000
1.000000	0.000000
0.000000	1.000000
1.000000	1.000000
0.500000	0.500000
1.000000	0.500000
0.500000	1.000000
0.500000	0.000000
0.000000	0.500000
0.250000	0.250000
0.750000	0.250000
0.250000	0.750000
0.750000	0.750000
1.000000	0.750000
0.750000	0.500000
0.750000	1.000000
0.500000	0.750000
1.000000	0.250000
0.250000	1.000000
0.250000	0.000000
0.750000	0.000000
0.000000	0.250000
0.000000	0.750000
0.250000	0.500000
0.125000	0.125000
0.125000	0.375000
0.875000	0.125000
0.875000	0.375000
0.125000	0.875000
0.375000	0.875000
0.125000	0.625000
0.500000	0.250000
0.375000	0.125000
0.375000	0.625000
0.875000	0.875000
0.625000	0.625000
0.875000	0.625000
0.625000	0.875000
1.000000	0.875000
1.000000	0.625000
0.875000	0.750000
0.875000	1.000000
0.625000	1.000000
0.750000	0.875000
0.500000	0.625000
0.625000	0.750000
0.375000	0.000000
0.250000	0.125000
0.375000	0.375000
0.625000	0.375000
0.625000	0.125000
0.500000	0.875000
0.375000	0.750000
0.375000	1.000000
0.250000	0.875000
0.625000	0.000000
0.750000	0.125000
0.000000	0.375000
0.000000	0.625000
0.125000	0.750000
0.375000	0.500000
0.125000	0.500000
0.250000	0.375000
0.250000	0.625000
0.062500	0.437500
0.187500	0.437500
0.437500	0.937500
0.312500	0.812500
0.437500	0.812500
0.312500	0.937500
0.062500	0.562500
0.187500	0.687500
0.062500	0.687500
0.187500	0.562500
0.500000	0.375000
0.375000	0.250000
0.625000	0.500000
0.875000	0.500000
0.750000	0.375000
1.000000	0.125000
1.000000	0.375000
0.875000	0.250000
0.125000	1.000000
0.125000	0.000000
0.875000	0.000000
0.000000	0.125000
0.125000	0.250000
0.000000	0.875000
0.062500	0.062500
0.187500	0.187500
0.062500	0.187500
0.187500	0.312500
0.062500	0.312500
0.937500	0.062500
0.937500	0.187500
0.812500	0.062500
0.937500	0.437500
0.812500	0.312500
0.812500	0.437500
0.937500	0.312500
0.062500	0.937500
0.187500	0.937500
0.062500	0.812500
0.625000	0.250000
0.437500	0.437500
0.437500	0.312500
0.562500	0.437500
0.687500	0.312500
0.687500	0.437500
0.562500	0.312500
0.500000	0.437500
0.500000	0.312500
0.437500	0.375000
0.750000	0.625000
0.187500	0.812500
0.500000	0.125000
0.437500	0.062500
0.312500	0.187500
0.312500	0.062500
0.437500	0.187500
0.437500	0.562500
0.312500	0.687500
0.437500	0.687500
0.937500	0.937500
0.937500	0.812500
0.812500	0.937500
0.562500	0.562500
0.687500	0.687500
0.687500	0.562500
0.562500	0.687500
0.937500	0.562500
0.937500	0.687500
0.562500	0.937500
0.687500	0.937500
0.562500	0.812500
1.000000	0.812500
0.937500	0.875000
1.000000	0.562500
1.000000	0.687500
0.937500	0.625000
0.937500	1.000000
0.812500	1.000000
0.875000	0.937500
0.562500	1.000000
0.687500	1.000000
0.625000	0.937500
0.500000	0.562500
0.500000	0.687500
0.562500	0.625000
0.562500	0.750000
0.625000	0.687500
0.437500	0.000000
0.375000	0.062500
0.562500	0.062500
0.687500	0.187500
0.687500	0.062500
0.562500	0.187500
0.500000	0.812500
0.437500	0.875000
0.562500	0.875000
0.312500	0.750000
0.437500	0.750000
0.375000	0.812500
0.375000	0.687500
0.250000	0.812500
0.562500	0.000000
0.687500	0.000000
0.625000	0.062500
0.187500	0.500000
0.125000	0.437500
0.187500	0.375000
0.156250	0.406250
0.156250	0.468750
0.281250	0.781250
0.343750	0.781250
0.468750	0.781250
0.468750	0.843750
0.562500	0.375000
0.437500	0.250000
0.375000	0.187500
0.562500	0.500000
0.625000	0.562500
0.625000	0.437500
0.750000	0.312500
0.687500	0.250000
0.625000	0.312500
0.593750	0.406250
0.531250	0.406250
0.593750	0.468750
0.718750	0.281250
0.656250	0.281250
0.187500	0.062500
0.812500	0.187500
0.312500	0.562500
0.687500	0.812500
0.437500	0.625000
0.687500	0.750000
0.250000	0.187500
0.187500	0.125000
0.312500	0.125000
0.312500	0.312500
0.312500	0.437500
0.500000	0.937500
0.437500	1.000000
0.312500	1.000000
0.375000	0.937500
0.250000	0.937500
0.312500	0.875000
0.750000	0.062500
0.812500	0.125000
0.062500	0.375000
0.000000	0.562500
0.000000	0.687500
0.062500	0.625000
0.187500	0.750000
0.062500	0.750000
0.125000	0.687500
0.437500	0.500000
0.312500	0.500000
0.375000	0.562500
0.375000	0.437500
0.062500	0.500000
0.125000	0.562500
0.250000	0.687500
0.250000	0.562500
0.187500	0.625000
0.468750	0.968750
0.406250	0.968750
0.343750	0.843750
0.406250	0.843750
0.406250	0.781250
0.281250	0.968750
0.343750	0.906250
0.343750	0.968750
0.281250	0.906250
0.031250	0.531250
0.093750	0.593750
0.031250	0.593750
0.093750	0.531250
0.218750	0.718750
0.156250	0.656250
0.156250	0.718750
0.218750	0.656250
0.031250	0.718750
0.093750	0.656250
0.031250	0.656250
0.093750	0.718750
0.218750	0.531250
0.156250	0.593750
0.156250	0.531250
0.312500	0.250000
0.375000	0.312500
0.937500	0.500000
0.750000	0.437500
0.687500	0.375000
1.000000	0.437500
0.937500	0.375000
0.187500	1.000000
0.125000	0.937500
0.187500	0.000000
0.125000	0.062500
0.812500	0.000000
