nrInnerEdges   energy   significantDigits
40   -2.06682381072664211885125951085   0
176   -2.05443360581152889565714758646   1
736   -2.05816607712856702860904078989   2
3008   -2.05787947698565520937563633197   2
12160   -2.05793554575097781267345453671   3
48896   -2.05806440853245886657418850518   2
196096   -2.05802376794030594808759815351   4
785408   -2.05802787159136624239863522234   5
3143680   -2.05803633264518426315703436558   4
12578816   -2.05803439920637920579338242533   5
50323456   -2.05803413488960629251778300386   6
