nrInnerEdges   energy   significantDigits
40   -0.294200137739396683222992123774   0
176   -0.293977702659815320895830836889   2
736   -0.294288046939773284549346499261   2
3008   -0.29449902388607512859763915003   3
12160   -0.294535474785684647791583756771   3
48896   -0.294524362726026944780954863745   4
196096   -0.294525587976684488644707471394   5
785408   -0.294524650734933557405526016737   5
3143680   -0.29452467425755890495508992899   7
12578816   -0.29452425244332497422661276687   6
50323456   -0.294524272298654798962758150083   7
201310208   -0.294524313323022812749485410677   6
805273600   -0.294524309614273449575705399184   7
