lvl,nrDof,nrIterations,time,error4lvl,eta,etaVol,etaJumps,energy,gueb,gleb,diffGuebGleb,diffExacEGleb,absDiffDiscExacE,hMin,hMax,sumL1NormOfJumps,normDiffExactSolJ1DiscSol,normDiffDiscSolJ1DiscSol,diffDiscEGleb
0,8,5,0.04864,0.518195975907925,12600894.2184084,12600892.9476311,1.2707772935749,-2662.47455280825,-2547.36786952931,-2667.9664752915,120.598605762188,-1256.4076577015,1261.89958018475,1,1.4142135623731,1.18729569446452,0.533066265889076,0.151597349989011,5.49192248324653
1,32,23,0.01759,0.339303814850844,1853679.37387205,1853677.57824663,1.7956254170056,-3396.66355255809,-3037.88552352976,-77919.1808663772,74881.2953428474,73994.8067333842,527.710580434908,0.5,1,2.40269941376319,0.426179631432396,0.267446091874155,74522.5173138191
2,49,17,0.008515,0.275892331333052,731575.826616065,731573.953522971,1.87309309427544,-3539.7759285232,-3056.95120902945,-50356.3398359739,47299.3886269445,46431.9657029809,384.598204469801,0.353553390593274,1,3.00591189441325,0.411923910571314,0.309913324265292,46816.5639074507
3,87,21,0.012701,0.243385511085811,279264.014521314,279262.707581668,1.30693964612226,-3607.04325490335,-3313.86128767795,-21496.0587080486,18182.1974203707,17571.6845750556,317.33087808965,0.25,1,2.84156159028169,0.339998854319949,0.241156889642203,17889.0154531453
4,148,58,0.034768,0.214780571484911,111091.675925089,111090.870534386,0.805390702663535,-3696.81474828404,-3511.36588596324,-19497.4836922874,15986.1178063242,15573.1095592944,227.559384708964,0.176776695296637,0.707106781186548,2.54012247874763,0.288296442252915,0.191466123770802,15800.6689440034
5,226,71,0.03318,0.178762365601418,39539.030916652,39538.4477389184,0.583177733584121,-3778.84261321799,-3663.20604206183,-11410.7882826931,7747.58224063128,7486.41414970012,145.531519775007,0.125,0.707106781186548,2.57970552460176,0.234398018816266,0.150958721746304,7631.94566947512
6,358,84,0.051413,0.15366537693947,14713.8520036027,14713.4671066839,0.38489691874902,-3815.5906009651,-3748.8847948659,-7774.86991076923,4025.98511590334,3850.49577777623,108.783532027898,0.0883883476483184,0.707106781186548,2.33860645880129,0.190224052749563,0.114187454227964,3959.27930980413
7,577,93,0.075257,0.128091695192818,4982.59906756717,4982.34250008694,0.256567480239165,-3841.58175375666,-3800.77195022793,-6391.02181097631,2590.24986074838,2466.64767798331,82.7923792363376,0.0625,0.5,2.32278232219663,0.155470597423301,0.0887296205716665,2549.44005721964
8,874,95,0.18757,0.10610556554859,1793.3704198718,1793.16401883122,0.206401040580221,-3865.17740008673,-3828.07657468981,-5284.41041988959,1456.33384519978,1360.03628689659,59.1967329062659,0.0441941738241592,0.5,2.6256917631208,0.135531260045077,0.0843396600796858,1419.23301980286
9,1222,111,0.158363,0.0895353376600718,671.242421997837,671.094873532103,0.14754846573291,-3881.31861068661,-3853.12245758458,-4669.1798574091,816.057399824522,744.805724416104,43.0555223063893,0.03125,0.5,2.57728295938032,0.115366344363971,0.0731830181949317,787.861246722493
