lvl,nrDof,nrIterations,time,error4lvl,eta,etaVol,etaJumps,energy,gueb,gleb,diffGuebGleb,diffExacEGleb,absDiffDiscExacE,hMin,hMax,sumL1NormOfJumps,normDiffExactSolJ1DiscSol,normDiffDiscSolJ1DiscSol,diffDiscEGleb
0,8,9,0.046427,0.817517908728236,22.2214410014963,22.2214259906809,1.5010815392981e-05,1.46089871712989e-05,8.63497394784758e-06,-175.625977658309,175.625986293283,175.29187177293,0.334120494366371,1,1.4142135623731,1.78242181567638e-05,0.817518830798281,4.20842143652311e-06,175.625992267296
1,34,277,0.059075,0.547855193202469,8.45024907210883,5.65239438273309,2.79785468937574,-0.522505926631763,1.99114853939854,-91.7434117273424,93.734560266741,91.4093058419632,0.188400041252563,0.5,1,3.55958203428612,0.589790871911444,0.482782548864699,91.2209058007107
2,94,732,0.175675,0.226894718080235,3.04940906395565,2.01688833823334,1.03252072572231,-0.412160346250964,1.44232492188493,-53.1668301767435,54.6091550986284,52.8327242913643,0.078054460871764,0.25,0.707106781186548,1.96037512637852,0.215801621584524,0.26901383690041,52.7546698304925
3,216,776,0.315329,0.197651254274695,1.98567326700708,1.19948554968172,0.786187717325362,-0.434405814528106,0.92586376377093,-41.5066880607008,42.4325518244718,41.1725821753216,0.100299929148906,0.176776695296637,0.5,2.7413360585996,0.187727492114783,0.176512495890141,41.0722822461727
4,386,830,0.416291,0.165269644653483,1.16378883085933,0.520566923229691,0.643221907629639,-0.409763366323667,0.534243577057055,-27.0020807434885,27.5363243205456,26.6679748581093,0.0756574809444673,0.125,0.5,2.90967844274739,0.128820464182403,0.137435597695226,26.5923173771648
5,874,2478,2.317749,0.116561809010802,0.737275276948859,0.338684281664391,0.398590995284469,-0.378372576292805,0.0283143639197405,-21.7459789904904,21.7742933544101,21.4118731051112,0.0442666909136052,0.0625,0.5,3.09428726748477,0.0790650816803249,0.0836013373527641,21.3676064141976
6,1632,3943,7.902846,0.0982766622881356,0.447310307596248,0.139779644103209,0.307530663493037,-0.371261056215967,0.0260866751855175,-14.0964825257071,14.1225692008926,13.7623766403279,0.0371551708367675,0.0441941738241592,0.353553390593274,3.20428389284084,0.0804236056697228,0.0565123620720091,13.7252214694911
7,3261,6808,27.46784,0.0664966648443573,0.286858412132153,0.0845920678781147,0.202266344254038,-0.357892686208576,0.000838353017032833,-11.0489494406186,11.0497877936357,10.7148435552394,0.0237868008293758,0.03125,0.353553390593274,3.3304770052857,0.0538114620703277,0.0390487365656882,10.6910567544101
8,7031,8467,78.837778,0.0525991388272828,0.171863482384475,0.0368136181359235,0.135049864248551,-0.35135572446687,-0.0607558614022059,-7.42920931731021,7.36845345590801,7.09510343193101,0.0172498390876699,0.015625,0.353553390593274,3.24343804914111,0.045173381232847,0.0269849859521911,7.07785359284334
9,12798,9252,170.779467,0.0393443811511877,0.119647700017626,0.025985617309723,0.0936620827079026,-0.346221047380265,-0.0957485903721498,-6.30166038125467,6.20591179088252,5.96755449587547,0.0121151620010654,0.0078125,0.25,3.35521905163134,0.0346406080737935,0.0181778682838133,5.95543933387441
10,26694,11942,509.971012,0.0269340938543094,0.0775553238480194,0.0146855769183437,0.0628697469296753,-0.342851177426692,-0.109092190955982,-4.82147083778687,4.71237864683089,4.48736495240767,0.00874529204749203,0.0078125,0.25,3.3194822859231,0.0236201854834744,0.0124977672983619,4.47861966036018
11,49411,11691,1496.247109,0.0219984419291928,0.0536356705314892,0.00927130598132373,0.0443643645501655,-0.340373848695963,-0.142885086452107,-3.90821391989482,3.76532883344271,3.57410803451562,0.00626796331676288,0.00390625,0.25,3.34229864436779,0.0202295866264667,0.00833803696138307,3.56784007119885
12,98322,12920,3444.81861,0.0145832968216228,0.0355504312727122,0.00517180797776617,0.0303786232949458,-0.338585730653166,-0.163241433470052,-3.00171993373032,2.83847850026027,2.66761404835112,0.00447984527396567,0.00276213586400995,0.25,3.27321087150566,0.0133729512240931,0.00566173264291628,2.66313420307715
13,186159,12719,7214.185938,0.0114392001030349,0.0240289485864909,0.00272265625431773,0.0213062923321732,-0.337256508757925,-0.188994086239687,-2.26928516509834,2.08029107885865,1.93517927971914,0.00315062337872468,0.001953125,0.25,3.20697565635794,0.0107386020663799,0.00383948066547339,1.93202865634041
14,365925,12938,14810.524369,0.00828065366930156,0.0162096293232316,0.00170887884306461,0.014500750480167,-0.336318234364239,-0.215833547032203,-1.86678119889711,1.65094765186491,1.53267531351791,0.00221234898503947,0.00138106793200498,0.25,3.11774547628479,0.00785231875569482,0.00257052214671248,1.53046296453287
15,706081,13195,34002.068713,0.00631352983940835,0.0110314273152696,0.00115607476514981,0.00987535255011976,-0.335620351170138,-0.23843682942166,-1.59411242292077,1.35567559349911,1.26000653754157,0.00151446579093789,0.0009765625,0.25,3.01640068388693,0.00606955875521108,0.00170341282627918,1.25849207175064
16,1359590,14380,69883.869602,0.00468806974073861,0.00739032250094518,0.000611840416316997,0.00677848208462819,-0.335173404345322,-0.254682976171152,-1.25086218604177,0.996179209870622,0.916756300662574,0.00106751896612184,0.000690533966002488,0.25,2.88235803423006,0.00453479852936912,0.00116520932520543,0.915688781696453
