lvl,nrDof,nrIterations,time,error4lvl,eta,etaVol,etaJumps,energy,gueb,gleb,diffGuebGleb,diffExacEGleb,absDiffDiscExacE,hMin,hMax,sumL1NormOfJumps,normDiffExactSolJ1DiscSol,normDiffDiscSolJ1DiscSol,diffDiscEGleb
0,8,3,0.036901,0.860482916079589,38250820.3019802,38250818.9578779,1.34410227777459,-16840.536005255,-15713.6725501806,-44807.0251948743,29093.3526446937,24226.6844304913,3739.804759128,1,1.4142135623731,1.82036059156601,0.983045156425465,0.474654372749877,27966.4891896193
1,33,10,0.016246,0.358661380017866,1911157.47788933,1911154.04338204,3.43450729382236,-19923.6488280472,-18504.0389092253,-26323.8379134837,7819.79900425846,5743.49714910071,656.691936335796,0.5,1,4.49243157366152,0.640621363521535,0.532712975339303,6400.18908543651
2,98,24,0.012592,0.201138582547696,445797.187147306,445794.876052128,2.31109517778719,-20371.6232623089,-19762.431007374,-23477.2081303451,3714.7771229711,2896.86736596206,208.717502074149,0.25,1,4.43311313225808,0.401173730870445,0.348719354852163,3105.58486803621
3,116,19,0.009635,0.184494360772619,188140.15996083,188138.240356164,1.91960466533147,-20407.8533991089,-20041.517804975,-22412.443392208,2370.92558723296,1832.10262782498,172.487365274137,0.25,0.707106781186548,4.38160647760957,0.326682906015368,0.270106676341393,2004.58999309911
4,233,37,0.030453,0.123216699294805,44702.3087100293,44701.2010713253,1.10763870405307,-20508.1891424614,-20363.084586397,-21485.0769926154,1121.99240621834,904.736228232367,72.1516219215555,0.176776695296637,0.5,3.50686563716131,0.208993040650471,0.169877065357082,976.887850153922
5,365,39,0.0252,0.0763308882905305,12288.0466007296,12287.3667887195,0.679812010099946,-20551.012558629,-20494.4839818167,-21061.5237010962,567.039719279503,481.182936713223,29.3282057539509,0.125,0.5,2.71800422412867,0.129583228737448,0.105871559063524,510.511142467174
6,447,45,0.025965,0.0621006788630986,5322.30589915637,5321.74454444407,0.561354712297238,-20561.2580729544,-20522.0016710759,-20897.1897524225,375.188081346576,316.84898803947,19.0826914286226,0.125,0.5,2.54602508761874,0.10689853697699,0.0880808897220495,335.931679468093
7,755,62,0.052212,0.042524332130192,1471.75358609607,1471.41794771128,0.335638384793988,-20571.1853885152,-20552.6669771243,-20747.9464992356,195.27952211129,167.605734852594,9.15537586777282,0.0883883476483184,0.353553390593274,1.98169096911653,0.0728792994594033,0.0600026628504683,176.761110720367
8,1248,77,0.119202,0.0289510152179118,388.123602214185,387.917720205743,0.205882008441587,-20575.7327646714,-20567.3979680452,-20666.5856560788,99.187688033584,86.244891695751,4.60799971163215,0.0625,0.353553390593274,1.62841282917759,0.0488134216238817,0.0396448947765899,90.8528914073831
9,1748,82,0.168104,0.0214295771863381,151.708180067568,151.565419931395,0.142760136172584,-20578.2746524732,-20573.9741816309,-20635.061186671,61.0870050401099,54.7204222880355,2.06611190978583,0.0441941738241592,0.353553390593274,1.34447657916376,0.0348035858405446,0.0279926877683893,56.7865341978213
10,2218,76,0.193733,0.0152323428027488,47.9947172778547,47.8976306731643,0.0970866046904162,-20579.4130894745,-20577.22885569,-20611.3164850868,34.087629396814,30.9757207037983,0.92767490847109,0.0441941738241592,0.353553390593274,1.09797493572189,0.0240685788292324,0.0194713236109875,31.9033956122694
11,3201,78,0.319655,0.0102373357739754,14.1817187986581,14.1226422268955,0.0590765717626264,-20579.8953134267,-20578.7444506104,-20597.2140757945,18.4696251840433,16.8733114114839,0.445450956325658,0.03125,0.353553390593274,0.847832881563629,0.0162178853238345,0.0133655858932321,17.3187623678095
12,4230,82,0.444784,0.00745284515353587,5.62546929817044,5.5824917254433,0.0429775727271653,-20580.0203426454,-20579.3073676929,-20590.9095541237,11.6021864308495,10.5687897407188,0.320421737647848,0.0220970869120796,0.353553390593274,0.718777697780175,0.0117672833171384,0.00977889924016924,10.8892114783666
13,5674,107,0.776543,0.0054890667779164,2.17032093744591,2.14092764385899,0.0293932935869169,-20580.1804580724,-20579.6757950339,-20586.9238524951,7.24805746115817,6.58308811205279,0.160306310597662,0.0220970869120796,0.353553390593274,0.600236570799511,0.00898435609605076,0.00764709041770079,6.74339442265045
14,7354,104,0.947314,0.00406517789979105,0.894052040242074,0.872826095224578,0.0212259450174968,-20580.2233652917,-20579.8803558294,-20584.5282062733,4.64785044384917,4.18744189025529,0.117399091333937,0.015625,0.25,0.50606555260519,0.00658775691580203,0.00555915207865825,4.30484098158922
15,10802,126,1.62581,0.00287787473211835,0.392883080372602,0.378195265341662,0.0146878150309379,-20580.2907714047,-20580.0794039779,-20583.1246774055,3.04527342757865,2.78391302250384,0.0499929783472908,0.0110485434560398,0.176776695296637,0.424729368965099,0.00448098803052425,0.00372285230466528,2.83390600085113
16,15075,149,3.169849,0.00198363662858812,0.173375667608616,0.163200915778254,0.0101747518303634,-20580.3175187225,-20580.1679458996,-20582.1791997539,2.01125385427804,1.83843537086068,0.023245660457178,0.0110485434560398,0.176776695296637,0.342759393062966,0.00308781335289506,0.00258209258276637,1.86168103131786
17,21678,168,5.370385,0.00141254513481186,0.090421217753241,0.083034793428944,0.00738642432429658,-20580.325029093,-20580.2145625226,-20581.6529896964,1.43842717389271,1.31222531344611,0.0157352899914258,0.0078125,0.176776695296637,0.287920155007921,0.002179720656746,0.00183433386756938,1.32796060343753
18,29465,172,7.392849,0.00115541906462969,0.0452315039749158,0.0395778208586973,0.00565368311621845,-20580.3299628427,-20580.2359581556,-20581.2467785387,1.01082038312597,0.906014155705634,0.0108015403202444,0.0078125,0.125,0.263532389092406,0.00174238664120127,0.00147079108355839,0.916815696025878
19,45850,214,23.82632,0.000756288537552706,0.0249795917802616,0.020838905368844,0.00414068641141746,-20580.3353682312,-20580.2689698092,-20581.0006233114,0.731653502156405,0.659858928356698,0.00539615178058739,0.0055242717280199,0.125,0.214666153548014,0.00112642124226239,0.000970020708381877,0.665255080137285
20,70232,247,40.636428,0.000560083624441024,0.0135505651068006,0.010469752221488,0.00308081288531278,-20580.3369025334,-20580.2831146699,-20580.808432745,0.525318075055111,0.467668361980031,0.00386184963645064,0.00390625,0.125,0.191764064385915,0.000831321208756885,0.000727030484237283,0.471530211616482
21,109806,288,78.289366,0.000452600147015431,0.00784396392902828,0.00557474851826564,0.00226921541076271,-20580.3383377119,-20580.2946191925,-20580.6824153638,0.387796171246009,0.341650980775739,0.00242667113707284,0.00390625,0.125,0.178385946521981,0.000638473977284098,0.000551060048074797,0.344077651912812
22,198178,399,206.220389,0.000285215313073503,0.00452049683756644,0.00288433212823904,0.00163616470932741,-20580.3398689085,-20580.3103698259,-20580.5873665487,0.276996722765034,0.24660216567645,0.000895474542630836,0.00276213586400995,0.0883883476483184,0.159676385189704,0.000367673478894897,0.00033803206911367,0.24749764021908
23,341066,479,452.902911,0.000217248938366303,0.00277901792270483,0.00150613626009441,0.00127288166261042,-20580.3401208554,-20580.3175567584,-20580.5189680439,0.201411285543145,0.178203660918371,0.000643527622742113,0.001953125,0.0883883476483184,0.165431582537948,0.000254363089247768,0.000248663121638664,0.178847188541113
24,631245,674,1432.739154,0.000166981509013078,0.00198315005784413,0.000950660238310328,0.0010324898195338,-20580.3404602074,-20580.3260244947,-20580.4825504723,0.156525977647107,0.141786089341622,0.000304175584460609,0.00138106793200498,0.0883883476483184,0.192666646293937,0.000150650988141574,0.000168672975594233,0.142090264926082
25,1138034,951,3748.530874,0.000133450347659666,0.00144111129260301,0.00053901854087054,0.000902092751732474,-20580.3405845464,-20580.3303264731,-20580.4475769011,0.117250427942054,0.106812518064544,0.000179836562892888,0.0009765625,0.0883883476483184,0.245023608964004,9.51908132424348e-05,0.000135322494870085,0.106992354627437
