lvl,nrDof,nrIterations,time,error4lvl,eta,etaVol,etaJumps,energy,gueb,gleb,diffGuebGleb,diffExacEGleb,absDiffDiscExacE,hMin,hMax,sumL1NormOfJumps,normDiffExactSolJ1DiscSol,normDiffDiscSolJ1DiscSol,diffDiscEGleb
0,8,8,0.059745,2.02321860079831,70.2238126409124,70.2237993323764,1.33085360028174e-05,8.22037837380302e-06,9.38782165461513e-06,-1195.47258812758,1195.4725975154,1193.41455369915,2.05804264880237,1,1.4142135623731,1.11690381735973e-05,2.02321975018531,2.63527899091559e-06,1195.47259634795
1,33,122,0.039182,0.791822565363814,35.48500294179,21.6249121272109,13.860090814579,-2.91320039462331,3.27492058181541,-597.812636514435,601.08755709625,595.754602086011,0.855165966199313,0.5,1,6.93006688189019,0.860166143998123,1.1028985290513,594.899436119811
2,100,593,0.18113,0.55580886336443,27.9506168789534,8.97530265353753,18.9753142254159,-2.4870582241538,2.78741855739576,-384.9020706919,387.689489249295,382.844036263476,0.429023795729801,0.25,0.707106781186548,9.49430751319035,0.539259257816169,0.609602852857722,382.415012467746
3,225,1475,0.632607,0.500475686253759,24.4493797426059,3.67528844941945,20.7740912931865,-2.56550706774032,2.30895051678589,-248.128079017411,250.437029534197,246.070044588987,0.507472639316317,0.125,0.5,10.3870456677729,0.425841311794578,0.508209991632021,245.56257194967
4,456,2128,1.374563,0.386236338061801,22.4825033516831,1.69574951878097,20.7867538329021,-2.35726114020682,0.99236640908731,-168.35714885566,169.349515264748,166.299114427236,0.299226711782823,0.125,0.5,10.3933769209173,0.279585944902203,0.31887626729615,165.999887715454
5,1086,4236,5.591289,0.259100865018427,21.3311649580375,0.847828167687042,20.4833367903504,-2.22550067088919,-0.40577609496632,-119.324379517318,118.918603422352,117.266345088894,0.16746624246519,0.0625,0.353553390593274,10.241668397886,0.198466350620217,0.193163002045314,117.098878846429
6,2327,7801,23.792001,0.190455226236184,20.7604507682879,0.554403141924144,20.2060476263639,-2.16228339714112,-0.551326305452999,-96.7811639771666,96.2298376717136,94.7231295487426,0.10424896871712,0.03125,0.353553390593274,10.1030238137975,0.150812265832047,0.130819819375597,94.6188805800254
7,5229,11657,84.646544,0.124353152363682,20.2323553687411,0.32638713237485,19.9059682363662,-2.12081532331481,-0.983563655116264,-74.702096053284,73.7185323981677,72.64406162486,0.06278089489081,0.015625,0.353553390593274,9.95298412552138,0.093155311253479,0.0839780025894227,72.5812807299691
8,11424,15451,240.812351,0.0864988424652516,20.6349800810158,0.255222646300977,20.3797574347148,-2.10222739649041,-1.10310407206728,-66.2375063025242,65.1344022304569,64.1794718741002,0.0441929680664095,0.0110485434560398,0.353553390593274,10.1898787177614,0.0672164777936191,0.053758660159621,64.1352789060337
9,25001,21317,741.947695,0.0599099981740664,20.4543934910226,0.193583663129006,20.2608098278937,-2.08783992557112,-1.22361582408705,-57.9648954160879,56.7412795920008,55.9068609876639,0.0298054971471173,0.0055242717280199,0.353553390593274,10.1304049142163,0.0484616061337566,0.0348351070531869,55.8770554905168
10,56685,25851,2256.924198,0.0458318602479277,20.5050843495146,0.156354567548275,20.3487297819664,-2.07853012263253,-1.26911499522273,-52.3253207802271,51.0562057850044,50.2672863518031,0.0204956942085288,0.00390625,0.353553390593274,10.1743648911805,0.0391671888616235,0.0233355293471938,50.2467906575946
11,126617,29123,8400.496341,0.0301713853038852,20.3307427399482,0.121563441704943,20.2091792982429,-2.0716878002165,-1.35578690800937,-46.3678946038062,45.0121076957968,44.3098601753822,0.0136533717924983,0.001953125,0.353553390593274,10.1045896494892,0.0260205811843932,0.0150000174010529,44.2962068035897
12,283441,31734,22868.176714,0.0195403327902223,19.9099371479594,0.0888271040013596,19.821110043958,-2.06711982241765,-1.44838289909941,-39.9623768164929,38.5139939173935,37.9043423880689,0.00908539399364505,0.00138106793200498,0.353553390593274,9.91055502216885,0.0169155561173693,0.00960888264011744,37.8952569940753
