lvl,nrDof,nrIterations,time,error4lvl,eta,etaVol,etaJumps,energy,gueb,gleb,diffGuebGleb,diffExacEGleb,absDiffDiscExacE,hMin,hMax,sumL1NormOfJumps,normDiffExactSolJ1DiscSol,normDiffDiscSolJ1DiscSol,diffDiscEGleb
0,8,8,0.056994,2.02321860079831,70.2238105234766,70.2237993323764,1.11911002170441e-05,8.22037837380302e-06,9.38782165461513e-06,-1195.47258812758,1195.4725975154,1193.41455369915,2.05804264880237,1,1.4142135623731,1.11690381735973e-05,2.02321975018531,2.63527899091559e-06,1195.47259634795
1,33,122,0.040316,0.791822565363814,30.4398162552547,21.6249121272109,8.81490412804381,-2.91320039462331,3.27492058181541,-597.812636514435,601.08755709625,595.754602086011,0.855165966199313,0.5,1,6.93006688189019,0.860166143998123,1.1028985290513,594.899436119811
2,124,737,0.252616,0.592227125691343,15.2049495278615,5.25014653026132,9.95480299760018,-2.64400408913006,3.76437884158657,-292.927845302302,296.692224143888,290.869810873878,0.58596966070606,0.25,0.5,11.0523840084314,0.510540683839377,0.634661013813066,290.283841213172
3,402,2353,1.407066,0.519303836936045,8.76210726388836,1.7408188599879,7.02128840390046,-2.51518071667923,1.60023022938357,-171.590260157903,173.190490387287,169.532225729479,0.457146288255232,0.125,0.5,9.91744274599464,0.44940233685997,0.449659525081199,169.075079441224
4,786,4074,4.19566,0.323320255105662,6.30316368554027,1.06843296769507,5.23473071784521,-2.23175169930292,0.248671938643744,-134.120533355978,134.369205294622,132.062498927554,0.173717270878921,0.0625,0.353553390593274,9.24450552744014,0.249497224677997,0.243215725443181,131.888781656676
5,1618,5457,11.84237,0.225725553046094,5.13062095443748,0.629919910688542,4.50070104374893,-2.17626803820315,-0.734178764820866,-102.97335203185,102.239173267029,100.915317603426,0.118233609779146,0.0441941738241592,0.353553390593274,9.59219714736849,0.164076541784891,0.165774537177741,100.797083993647
6,3157,9131,39.4364,0.159193646475208,4.16204446611844,0.402873349069428,3.759171117049,-2.14345882300901,-0.828319860252476,-82.6658118829182,81.8374920226657,80.6077774544942,0.0854243945850075,0.03125,0.353553390593274,9.90161808401585,0.119507980521263,0.10895838715009,80.5223530599092
7,6776,12797,120.610374,0.110857749324941,3.29552931752849,0.223250403252637,3.07227891427587,-2.11583971042228,-0.99127920666179,-62.1228369619285,61.1315577552668,60.0648025335045,0.0578052819982822,0.0220970869120796,0.353553390593274,10.0542472978705,0.0849062895382715,0.0722314381153364,60.0069972515063
8,14316,17701,362.29201,0.0802111613433818,2.68333018331086,0.149603529140117,2.53372665417074,-2.09869580250938,-1.10609225707973,-51.2274295084879,50.1213372514081,49.1693950800639,0.0406613740853756,0.0110485434560398,0.353553390593274,10.2554691661226,0.0638967229420663,0.0483887826874163,49.1287337059785
9,30501,22801,1011.097546,0.0569412419304683,2.16475480845516,0.114806636979672,2.04994817147548,-2.08533684813815,-1.20152584380509,-45.1676245202846,43.9660986764795,43.1095900918606,0.0273024197141498,0.0078125,0.353553390593274,10.2131162098257,0.0464032307881666,0.0323034740347487,43.0822876721465
10,65883,25861,3642.397675,0.04148787359955,1.74336085848688,0.0571552702919607,1.68620558819492,-2.07703470046963,-1.31280564616636,-32.4800275273066,31.1672218811402,30.4219930988826,0.0190002720456266,0.00390625,0.25,10.2363591727329,0.035162956368002,0.0216540653664311,30.4029928268369
11,137265,28962,9365.251591,0.0286256135358372,1.4271178357675,0.0349336637567704,1.39218417201073,-2.07128797152022,-1.42362033185815,-25.8464125698388,24.4227922379807,23.7883781414148,0.0132535430962188,0.00276213586400995,0.25,10.2344142078294,0.0245996617150982,0.0142694656227631,23.7751245983186
12,291317,31045,23597.27177,0.0196490930492627,1.15956885916995,0.0305761969382694,1.12899266223168,-2.06716577716333,-1.50266061818123,-24.3192944177021,22.8166337995209,22.2612599892781,0.00913134873932853,0.001953125,0.25,10.0682717002489,0.0170753982975845,0.00944338911295782,22.2521286405388
13,608214,31122,56615.3726,0.0133456033467676,0.928480305961487,0.0147414842957172,0.913738821665769,-2.06429679412731,-1.58780340306576,-17.5135876289089,15.9257842258431,15.4555532004849,0.00626236570331207,0.00138106793200498,0.25,9.82650201035928,0.0117753883674598,0.00613454355613777,15.4492908347816
14,1283878,31611,192580.00818,0.00882483268118714,0.736863070149827,0.00918975592740501,0.727673314222422,-2.06223456784063,-1.6772255059413,-14.2598307569926,12.5826052510513,12.2017963285686,0.00420013941662978,0.000690533966002488,0.25,9.47165226738102,0.00785448178664005,0.00394346628915911,12.197596189152
