lvl,nrDof,nrIterations,time,eta,etaVol,etaJumps,energy,gueb,hMin,hMax,sumL1NormOfJumps,normDiffDiscSolJ1DiscSol
0,1,3,0.03423,6682957.70503009,6682957.12762557,0.57740452060636,-277.829984702915,0,1,1.4142135623731,0.81657330401705,0.235724408443653
1,6,3,0.029243,1437981.44587784,1437980.81915441,0.62672342561542,-504.063564201576,-297.486862711608,0.5,1,1.0625532494084,0.203054551967331
2,17,4,0.0056,413150.304353386,413149.617017576,0.687335810736251,-745.240814004187,-416.619005033578,0.353553390593274,0.707106781186548,1.44566991139689,0.256056706858074
3,28,8,0.003653,162939.04466941,162938.44429084,0.600378569959331,-835.799938844293,-677.823620702612,0.25,0.5,1.48771770107571,0.177432080957371
4,59,13,0.015058,69459.32642637,69458.8542172536,0.472209116429974,-849.027408183379,-737.684656465832,0.176776695296637,0.5,1.58446870805109,0.148841462849036
5,102,19,0.010853,24758.5586494939,24758.2227947104,0.335854783534643,-883.792444561769,-841.888596715764,0.125,0.353553390593274,1.49258621264885,0.0910537112689799
6,199,38,0.016404,9632.30603472337,9632.04559856977,0.26043615360003,-905.423552791915,-877.703677519426,0.0883883476483184,0.25,1.60862222460402,0.0738044904036184
7,326,36,0.020536,4553.73630719557,4553.52302943285,0.213277762718858,-917.961535904948,-898.20637910867,0.0625,0.25,1.75266949574252,0.0619787358016757
8,569,32,0.024783,1883.60991048987,1883.42683612976,0.183074360120289,-932.664155792373,-915.489050849003,0.0441941738241592,0.25,2.02556935581232,0.0571863388192044
9,994,37,0.048091,814.522341765324,814.363891554255,0.158450211069412,-941.557790689534,-926.323752942244,0.0220970869120796,0.25,2.39194071324595,0.0533148068201228
10,1641,58,0.117101,353.836262384191,353.695193835359,0.141068548832554,-946.594753753819,-933.424148911111,0.0220970869120796,0.125,2.80053970443582,0.0488776348886028
11,2753,91,0.428076,150.595239803486,150.476853122903,0.118386680583556,-952.387549884112,-941.671989264101,0.015625,0.125,3.19109155395497,0.0432205410654028
12,4569,165,1.152624,65.340834656043,65.2436868377803,0.0971478182626498,-958.184352451734,-948.777943026098,0.0110485434560398,0.125,3.56533935268254,0.039572214152843
13,7759,268,2.429449,28.0129083116667,27.9361664174779,0.076741894188768,-962.056335372501,-954.479810609014,0.0055242717280199,0.0883883476483184,3.80450620382149,0.0344740411595957
14,12858,462,8.004984,12.6464370537506,12.5873654308146,0.0590716229359716,-965.070010756035,-959.873033815729,0.0055242717280199,0.0883883476483184,3.82570497398504,0.0272225443648529
15,22040,768,22.739321,5.69709386311988,5.65572163336111,0.0413722297587468,-966.428056097881,-963.481803326304,0.00276213586400995,0.0441941738241592,3.41967142335005,0.0187794698926376
16,39232,1207,70.573123,2.5987365376111,2.57079215106939,0.0279443865416817,-967.920254089202,-966.078182646577,0.00276213586400995,0.0441941738241592,3.08136919938402,0.0126922492055122
17,67617,1661,270.05927,1.22507816418642,1.20202088397983,0.0230572802065809,-968.969875378174,-966.834585394592,0.001953125,0.03125,3.78145379475085,0.0124178125383162
18,118641,2717,799.16775,0.592123797230911,0.569536525623687,0.0225872716072106,-969.761405021909,-967.052916153939,0.00138106793200498,0.03125,5.2675573192435,0.0136513686232805
19,213278,4766,2719.154682,0.289917330656114,0.270719440643841,0.0191978900122727,-970.294766439323,-967.316994665559,0.0009765625,0.0220970869120796,5.99877111563772,0.0124546279811546
20,381595,8483,9542.215479,0.145319021174664,0.129858699282059,0.0154603218926053,-970.700925798324,-967.551300119907,0.000690533966002488,0.015625,6.54555340630087,0.0105410753989573
21,698762,12683,31332.983635,0.0759112827487526,0.0616128508217157,0.0142984319270368,-970.957900691595,-967.765078980248,0.00048828125,0.0110485434560398,7.50914442813794,0.00928846025436659
