lvl,nrDof,nrIterations,time,eta,etaVol,etaJumps,energy,gueb,hMin,hMax,sumL1NormOfJumps,normDiffDiscSolJ1DiscSol
0,1,3,0.041376,6682957.70503009,6682957.12762557,0.57740452060636,-277.829984702915,0,1,1.4142135623731,0.81657330401705,0.235724408443653
1,8,3,0.029599,974567.423050418,974566.799180195,0.623870222693772,-552.141829408815,-320.689105991242,0.5,0.707106781186548,1.12833370199369,0.21491230611325
2,40,6,0.00743,101054.106085623,101053.413863503,0.692222119553999,-808.874898159712,-653.193887274905,0.25,0.353553390593274,2.09534716236072,0.176108399992257
3,176,31,0.014755,13023.2751281382,13023.0095501638,0.265577974323868,-895.865237898769,-872.019715522776,0.125,0.176776695296637,1.54019606753756,0.068421050934933
4,736,37,0.066462,1989.55511216265,1989.35530943087,0.199802731780229,-925.075839007387,-906.113978652641,0.0625,0.0883883476483184,2.27506035915732,0.0604376939925903
5,3008,52,0.193547,288.970830436629,288.845148416114,0.125682020514767,-945.615245660094,-933.537626720598,0.03125,0.0441941738241592,2.84814779858607,0.0470483663315523
6,12160,101,1.726668,41.2801801755846,41.192067140213,0.0881130353715276,-958.156662937147,-949.798754509138,0.015625,0.0220970869120796,3.98887798997821,0.0372939095385784
7,48896,298,36.70914,5.55912675531153,5.51086323444471,0.0482635208667474,-965.733411820425,-961.270034192211,0.0078125,0.0110485434560398,4.36863045293121,0.0254626634867793
8,196096,907,630.357511,0.935262171914636,0.922106040292395,0.0131561316222403,-968.095275278936,-967.461145512025,0.00390625,0.0055242717280199,2.38159972911838,0.00611904469888617
9,785408,2383,8849.349567,0.176657217187578,0.150394697411151,0.0262625197764274,-970.054064742219,-967.389760602048,0.001953125,0.00276213586400995,9.5080477826074,0.0150649957744821
