lvl,nrDof,nrIterations,time,eta,etaVol,etaJumps,energy,gueb,gleb,diffGuebGleb,hMin,hMax,sumL1NormOfJumps,normDiffDiscSolJ1DiscSol,diffDiscEGleb
0,8,5,0.045118,12588844.4083315,12588843.1388143,1.26951718812951,-2660.54401817695,-2545.67043360175,-2660.54401817695,114.873584575199,1,1.4142135623731,1.18610792819991,0.151443551136475,0
1,32,26,0.016605,1869778.44878891,1869776.6505545,1.79823440494159,-3396.31981689237,-3037.93239164895,-3396.31981689237,358.387425243423,0.5,1,2.40578157308072,0.267302571385929,0
2,49,17,0.006498,748045.189846978,748043.314260847,1.8755861313697,-3539.36008215151,-3057.00382906385,-3539.36008215151,482.356253087654,0.353553390593274,1,3.00867107159603,0.309761601952263,0
3,87,20,0.007963,280962.541185136,280961.234337291,1.3068478450397,-3599.65899162976,-3306.99351883227,-3599.65899162976,292.66547279749,0.25,1,2.84207766206029,0.240939855767539,0
4,148,57,0.032997,113259.1846411,113258.377795975,0.806845125514705,-3692.2463479443,-3506.70301019595,-3692.2463479443,185.543337748348,0.176776695296637,0.707106781186548,2.5464632136361,0.191510441596061,0
5,226,71,0.03391,39869.7704512945,39869.1882236438,0.582227650735687,-3773.12965755937,-3656.75470058627,-3773.12965755937,116.374956973094,0.125,0.707106781186548,2.5755547699761,0.151440410408138,0
6,358,82,0.048611,14969.222265829,14968.8367376838,0.385528145183571,-3808.21955056776,-3741.38190796768,-3808.21955056776,66.8376426000814,0.0883883476483184,0.707106781186548,2.34338527867665,0.114304844826934,0
7,574,90,0.071883,4930.12436735023,4929.87160750247,0.252759847762202,-3838.94108063913,-3797.72780310398,-3838.94108063913,41.2132775351538,0.0625,0.5,2.30512988586062,0.0891440279731127,0
8,862,97,0.105989,1737.17508707242,1736.97268594473,0.202401127687429,-3863.42898956471,-3826.17809537233,-3863.42898956471,37.2508941923834,0.0441941738241592,0.5,2.58812086448592,0.0844894476469824,0
9,1246,109,0.17594,646.675298119899,646.533864013306,0.141434106593167,-3880.00473677547,-3853.42083980624,-3880.00473677547,26.5838969692327,0.03125,0.5,2.53326624266637,0.0709569999948523,0
10,1729,102,0.21178,246.805889953526,246.711754276463,0.094135677062141,-3891.92860769019,-3874.75841928643,-3891.92860769019,17.1701884037557,0.0220970869120796,0.5,2.32115184174092,0.0561669506175394,0
11,2533,110,0.373616,92.5267432243499,92.4596537459949,0.0670894783550222,-3901.22858741635,-3888.93527941937,-3901.22858741635,12.2933079969807,0.015625,0.5,2.38145490001254,0.046649493439444,0
12,3529,170,0.678136,36.8009166465852,36.7494468798141,0.0514697667713213,-3907.37086921153,-3897.312568913,-3907.37086921153,10.0583002985295,0.0110485434560398,0.5,2.48411464533318,0.0414544190008705,0
13,5014,262,1.55837,14.8179481652943,14.7827490692842,0.0351990960101087,-3911.59753200268,-3904.4079140315,-3911.59753200268,7.18961797118254,0.0078125,0.5,2.36730979764128,0.0341770010423539,0
14,6628,420,3.268469,6.2574099602356,6.2320553233551,0.025354636880489,-3914.69872403567,-3908.90736419349,-3914.69872403567,5.79135984217783,0.0055242717280199,0.5,2.24817510161959,0.0297544460983204,0
15,8626,690,7.182794,2.87262116892665,2.85439361443893,0.0182275544877175,-3916.83415610784,-3912.21386695815,-3916.83415610784,4.62028914968869,0.00390625,0.5,2.12792232101716,0.0255985616089062,0
16,11038,885,11.540437,1.35550550850404,1.34042057770532,0.0150849307987197,-3918.35634951362,-3914.17082299965,-3918.35634951362,4.18552651397067,0.00390625,0.5,2.23879678526722,0.0235454773840711,0
17,15322,1584,28.41377,0.555600713805598,0.544446791672595,0.0111539221330023,-3919.7639943255,-3916.33425521039,-3919.7639943255,3.42973911510535,0.00276213586400995,0.5,2.26194837852674,0.0201014718644732,0
