lvl,nrDof,nrIterations,time,eta,etaVol,etaJumps,energy,gueb,hMin,hMax,sumL1NormOfJumps,normDiffDiscSolJ1DiscSol
0,1,3,0.033234,6908086.22227687,6908085.60765654,0.614620328061628,-314.798458000311,0,1,1.4142135623731,0.869204403654955,0.250917698215498
1,6,3,0.017308,1343059.04459816,1343058.46084775,0.58375040780056,-476.407416382716,-288.794115978709,0.5,1,0.998407368068345,0.193491623376036
2,17,5,0.006976,457057.277658647,457056.588708903,0.688949744392247,-756.718619129423,-440.196340745698,0.353553390593274,0.707106781186548,1.44853254062874,0.251244740276216
3,28,10,0.003724,188009.466748884,188008.85998228,0.606766603974943,-851.231878201026,-691.158536920785,0.25,0.5,1.50897277850351,0.178595318832703
4,59,13,0.018029,82116.0705925415,82115.5982780562,0.47231448528957,-861.035956758773,-746.783721802687,0.176776695296637,0.5,1.58429000163202,0.15075926522205
5,102,24,0.010096,32917.6253446215,32917.2833165578,0.342028063784454,-900.315392752367,-858.514604421644,0.125,0.353553390593274,1.52732702408932,0.0909458131373196
6,217,37,0.016966,12682.6066116612,12682.3540655508,0.252546110390765,-911.442896201823,-885.48716570087,0.0883883476483184,0.25,1.61587361949732,0.0713362774320207
7,395,28,0.018701,5755.13429606493,5754.91107972872,0.223216336199004,-932.445328811402,-910.67054238372,0.0441941738241592,0.25,1.98333009439001,0.0650107511360818
8,741,22,0.024042,2682.19283624801,2681.99901513715,0.193821110856019,-941.05420975116,-923.246434143701,0.0441941738241592,0.176776695296637,2.36927433185524,0.0582197030007338
9,1323,41,0.07491,1251.09986767526,1250.93821080171,0.161656873549347,-945.638504927473,-931.235959528072,0.0220970869120796,0.125,2.69813922125396,0.0516747366020767
10,2548,55,0.184232,584.522651739831,584.38668244483,0.135969294998665,-953.296880816196,-941.837052670874,0.0220970869120796,0.125,3.17304966613382,0.045317089944287
11,4659,93,0.516086,279.981347313399,279.859021624811,0.122325688587659,-956.980603067271,-947.048316122319,0.0110485434560398,0.0883883476483184,3.92217072958845,0.041166494037328
12,8686,231,2.537485,132.554145908951,132.441648401493,0.112497507458378,-961.965137509484,-952.356698924671,0.0078125,0.0625,4.87608253017158,0.039125913231143
13,16351,332,7.894886,61.9171585144288,61.8193911596246,0.0977673548040424,-966.923606230123,-958.899188523358,0.0055242717280199,0.0625,5.77019819651849,0.0339151304146194
14,31266,620,53.032779,28.4939086628825,28.4107749708343,0.0831336920478406,-970.132810142109,-964.077850336091,0.00390625,0.0441941738241592,6.52266822723608,0.0272731106658313
15,58528,869,242.171524,13.2986709219571,13.2354255078612,0.0632454140961079,-972.923002452439,-968.988954216086,0.00276213586400995,0.03125,6.48444766713462,0.0191367826227297
16,111219,1506,747.454613,6.10249935065833,6.05502364077395,0.0474757098843697,-975.377415477744,-972.083863368598,0.00276213586400995,0.03125,6.88923830484887,0.0150672893341933
17,204279,1967,2385.392654,2.83268327946223,2.78697576314073,0.045707516321491,-977.483014660379,-972.805677189356,0.001953125,0.0220970869120796,9.64751617202396,0.0164604501472268
18,369830,3786,7456.265894,1.33592233967164,1.2893202244828,0.0466021151888349,-979.061422118112,-972.843072204232,0.0009765625,0.015625,13.1568707277422,0.0169707306423759
19,671757,5475,24313.10107,0.637917732252241,0.598237024501967,0.0396807077502746,-980.220742733116,-973.251167629287,0.000690533966002488,0.015625,14.8912115922752,0.0150617893842806
