lvl,nrDof,nrIterations,time,error4lvl,eta,etaVol,etaJumps,energy,gueb,gleb,diffGuebGleb,diffExacEGleb,absDiffDiscExacE,hMin,hMax,sumL1NormOfJumps,normDiffExactSolJ1DiscSol,normDiffDiscSolJ1DiscSol,diffDiscEGleb
0,8,8,0.053733,2.02321860079831,70.2238087429325,70.2237993323764,9.41055605530591e-06,8.22037837381966e-06,9.3878216546249e-06,-1195.47258812758,1195.4725975154,1193.41455369915,2.05804264880237,1,1.4142135623731,1.1169038173656e-05,2.02321975018531,2.63527899093395e-06,1195.47259634795
1,33,122,0.064427,0.791822565363814,27.2719136246931,21.6249121272109,5.64700149748213,-2.91320039462331,3.27492058181541,-597.812636514435,601.08755709625,595.754602086011,0.855165966199313,0.5,1,6.93006688189019,0.860166143998124,1.1028985290513,594.899436119811
2,121,771,0.248457,0.588279992690843,10.0661996499759,5.39399859113196,4.67220105884395,-2.57810223530421,3.45822844840862,-296.68509092374,300.143319372148,294.627056495316,0.520067806880209,0.25,0.707106781186548,11.3820612321081,0.48670126443878,0.647150530309161,294.106988688435
3,384,2276,1.336787,0.467692607569151,4.22584677697916,1.78159843303713,2.44424834394203,-2.44165504169988,1.42605424329951,-173.267060517493,174.693114760793,171.209026089069,0.38362061327588,0.125,0.5,9.24759630163813,0.370513449675097,0.417360351867365,170.825405475793
4,705,3051,2.986889,0.343448045297166,2.68589781038964,1.02956502870191,1.65633278168773,-2.27039730433203,0.135898755237854,-132.105634282687,132.241533037925,130.047599854263,0.212362875908029,0.0883883476483184,0.353553390593274,9.37207691581219,0.255652645394394,0.261315174934886,129.835236978355
5,1420,4400,8.980173,0.250125065995136,1.67557764265826,0.481992550712072,1.19358509194619,-2.19118986429545,-0.697828577605733,-90.4492045907686,89.7513760131629,88.3911701623446,0.133155435871454,0.0625,0.353553390593274,9.47527585388164,0.182555121208116,0.177697468658498,88.2580147264732
6,2639,8580,33.26056,0.209263190566085,1.11678096713082,0.290938597755674,0.825842369375142,-2.16883674694443,-0.821964733360801,-70.6260922142874,69.8041274809266,68.5680577858634,0.110802318520425,0.0441941738241592,0.353553390593274,9.81489446325344,0.168442029941143,0.128313594016342,68.4572554673429
7,5823,11003,96.777752,0.129029535715555,0.672263033180842,0.137287526363947,0.534975506816895,-2.12302833792388,-1.15991086268495,-49.1457031516557,47.9857922889708,47.0876687232317,0.0649939094998806,0.0220970869120796,0.353553390593274,9.72406671017091,0.101362987654549,0.0810528436851192,47.0226748137319
8,11868,14606,286.975885,0.0970563813704082,0.448771097302874,0.0855752722595364,0.363195825043337,-2.10466930306583,-1.16553021676776,-39.3579921908085,38.1924619740408,37.2999577623845,0.0466348746418279,0.015625,0.25,9.88192034617481,0.0779847732726836,0.0567929779993731,37.2533228877427
9,24246,20131,870.50464,0.0664549060934312,0.299060464342791,0.0538726087690755,0.245187855573717,-2.08958497914141,-1.31382699955065,-31.6237509914721,30.3099239919215,29.5657165630481,0.0315505507174101,0.0078125,0.25,10.0683667454533,0.0541759064381345,0.0374867005666648,29.5341660123307
10,48425,24113,3663.500467,0.0468634777735891,0.199728410541303,0.0290063083749216,0.17072210216638,-2.08027348918904,-1.3833611318971,-23.7551793589118,22.3718182270147,21.6971449304878,0.0222390607650396,0.0055242717280199,0.25,10.0465881068137,0.0391059836383048,0.0253033973524066,21.6749058697227
11,95865,26420,7899.175897,0.0332000358256438,0.136192160825808,0.0170217444778614,0.119170416347946,-2.07394685554996,-1.42985539556748,-18.673312834543,17.2434574389755,16.615278406119,0.015912427125961,0.00390625,0.25,10.0039221520232,0.027749283064447,0.0177141440609846,16.599365978993
12,187768,28356,14658.773907,0.0242978729446824,0.09286440550626,0.00874434008593026,0.0841200654203297,-2.06948890163205,-1.51059555318268,-13.9675835623334,12.4569880091508,11.9095491339094,0.0114544732080506,0.00276213586400995,0.25,9.99118791364023,0.0208864570260091,0.0121461513937241,11.8980946607014
13,371511,29738,34359.59736,0.0172960250288005,0.0633669140691778,0.005627925893975,0.0577389881752028,-2.06617633032945,-1.57074155902774,-11.6112985968176,10.0405570377899,9.55326416839361,0.00814190190544606,0.001953125,0.25,9.83457794671859,0.015116644331744,0.0082161369559961,9.54512226648816
14,737613,30345,91001.491323,0.0120985648021022,0.0433086333611298,0.00406562755801105,0.0392430058031187,-2.06361591617311,-1.6623239497818,-10.1760987315256,8.5137747817438,8.11806430310161,0.00558148774910583,0.00138106793200498,0.25,9.62098000653999,0.0107492903821518,0.0054343890070665,8.1124828153525
15,1424019,30923,201938.890531,0.00868776602900833,0.029042298077406,0.00200070966094499,0.027041588416461,-2.06195329326748,-1.71874851759116,-7.75324577608375,6.03449725849259,5.69521134765975,0.0039188648434787,0.0009765625,0.25,9.26700536606807,0.00782228936322936,0.00369958933498859,5.69129248281627
