lvl,nrDof,nrIterations,time,eta,etaVol,etaJumps,energy,gueb,hMin,hMax,sumL1NormOfJumps,normDiffDiscSolJ1DiscSol
0,1,10,0.055666,6682957.70394481,6682957.12654023,0.577404574874508,-277.829984702912,0,1,1.4142135623731,0.8165733807638,0.235724430598531
1,6,11,0.025533,1437981.45496203,1437980.82823862,0.626723408845026,-504.063564194708,-297.486743392071,0.5,1,1.06255338958351,0.203054744797222
2,17,53,0.01292,413147.975354626,413147.288065157,0.687289468864579,-745.240813135084,-416.617520526722,0.353553390593274,0.707106781186548,1.44560818315304,0.25605493836567
3,28,85,0.019403,162939.820208958,162939.219811657,0.600397301270598,-835.799938822764,-677.817964593144,0.25,0.5,1.48777173545549,0.177436586122452
4,59,179,0.063055,69459.3791983108,69458.9069809576,0.472217353158172,-849.027405951375,-737.683138414265,0.176776695296637,0.5,1.58448810464574,0.148844983780255
5,102,174,0.086026,24758.5452121718,24758.2093492082,0.335862963511211,-883.792444157489,-841.88762094976,0.125,0.353553390593274,1.49261550156626,0.0910554167014338
6,199,229,0.147757,9632.30513291459,9632.04469495598,0.260437958620638,-905.423548935293,-877.703191871905,0.0883883476483184,0.25,1.60863137518472,0.0738050557328387
7,326,286,0.189276,4553.73868726794,4553.52540891895,0.213278348990007,-917.961518831889,-898.206403938481,0.0625,0.25,1.75267576112632,0.0619790306906649
8,569,323,0.26452,1883.60785598469,1883.42479236031,0.18306362437592,-932.664118872115,-915.489547368512,0.0441941738241592,0.25,2.02547373861888,0.0571850794693877
9,994,365,0.599333,814.522002458963,814.363553309874,0.158449149088894,-941.557798432726,-926.323742026347,0.0220970869120796,0.25,2.3919374623053,0.0533150052067654
10,1641,556,1.270064,353.836356877475,353.695288051902,0.141068825573769,-946.594749904687,-933.424140324712,0.0220970869120796,0.125,2.80054684182883,0.048877700219708
11,2753,871,3.39207,150.595227343487,150.476840585719,0.118386757768169,-952.38754994183,-941.671988796929,0.015625,0.125,3.19109056367773,0.0432205034947501
12,4569,1612,10.904766,65.3408341561708,65.2436863277355,0.097147828435154,-958.184352235625,-948.777943384161,0.0110485434560398,0.125,3.5653391338737,0.0395722052595501
13,7759,2653,31.330647,28.012907363843,27.9361654260401,0.0767419378026307,-962.056335053027,-954.47981021233,0.0055242717280199,0.0883883476483184,3.8045072219107,0.0344740443800481
14,12858,4593,96.093099,12.6464368308399,12.5873652077799,0.059071623060057,-965.07001073657,-959.87303381675,0.0055242717280199,0.0883883476483184,3.82570467457947,0.0272225438950232
15,22040,7655,296.464858,5.697093847082,5.65572162096956,0.0413722261124205,-966.428056105369,-963.481803314408,0.00276213586400995,0.0441941738241592,3.41967097062565,0.0187794685219504
16,39232,12047,918.177631,2.59873651655352,2.57079212979593,0.027944386757585,-967.920254080915,-966.078182688571,0.00276213586400995,0.0441941738241592,3.08136918741743,0.0126922494140699
17,67617,16586,4957.032524,1.22507814346693,1.20202086369799,0.0230572797689421,-968.969875372859,-966.834585198338,0.001953125,0.03125,3.7814536409759,0.0124178122432848
18,118641,27151,15013.161605,0.592123815288863,0.569536542719449,0.0225872725693981,-969.761405017755,-967.052916230337,0.00138106793200498,0.03125,5.26755759894809,0.0136513700490327
19,213278,47639,52291.985945,0.289917329475196,0.27071943992036,0.0191978895548362,-970.294766431237,-967.316994195191,0.0009765625,0.0220970869120796,5.99877071170016,0.0124546283414066
20,381595,84812,173288.330669,0.145319022222945,0.129858700036271,0.0154603221866746,-970.700925792281,-967.551300103991,0.000690533966002488,0.015625,6.54555355009475,0.0105410753402417
21,698762,126811,330551.545173,0.0759112812495671,0.0616128494939928,0.0142984317555741,-970.957900681986,-967.765078899722,0.00048828125,0.0110485434560398,7.50914419184163,0.00928845993140503
