lvl,nrDof,nrIterations,time,error4lvl,eta,etaVol,etaJumps,energy,gueb,gleb,diffGuebGleb,diffExacEGleb,absDiffDiscExacE,hMin,hMax,sumL1NormOfJumps,normDiffExactSolJ1DiscSol,normDiffDiscSolJ1DiscSol,diffDiscEGleb
0,8,51,0.071393,2.02322504358624,70.2239745137802,70.2238032150692,0.000171298711071755,0.000189370185936908,1.2694079450899e-05,-1195.47244002677,1195.47245272085,1193.41440559834,2.05822379860994,1,1.4142135623731,0.000156614570998873,2.02321823494451,2.13124473184811e-05,1195.47262939695
1,33,239,0.065745,0.79181684456167,27.2718998529178,21.6249186716616,5.64698118125617,-2.91319887069691,3.27489897084572,-597.812725009134,601.08762397998,595.75469058071,0.85516444227291,0.5,1,6.93004200730456,0.860162032689875,1.10289378240505,594.899526138437
2,121,1536,0.478651,0.588277788565055,10.0661940211355,5.39400001203454,4.67219400910095,-2.57810222199587,3.45823268304306,-296.685129647682,300.143362330725,294.627095219258,0.520067793571866,0.25,0.707106781186548,11.3820380732398,0.486701654621158,0.647147994880035,294.107027425686
3,384,4658,2.812303,0.467701546133667,4.22584147332931,1.78159686781066,2.44424460551865,-2.44165502836581,1.42613848782678,-173.266985464661,174.693123952487,171.208951036237,0.383620599941812,0.125,0.5,9.24762227366996,0.370522527242781,0.417365263720551,170.825330436295
4,705,6101,6.161058,0.343449243589902,2.68590314498938,1.02956479824848,1.6563383467409,-2.27039730223356,0.135907843360194,-132.105619749705,132.241527593065,130.047585321281,0.212362873809564,0.0883883476483184,0.353553390593274,9.37211468651039,0.255652960513539,0.261316200827453,129.835222447472
5,1420,8799,16.382813,0.250125072760217,1.6755776988289,0.48199259004893,1.19358510877997,-2.19118985937592,-0.697838438220455,-90.4492081873497,89.7513697491292,88.3911737589257,0.133155430951918,0.0625,0.353553390593274,9.47526613684303,0.182555036928039,0.177697516367156,88.2580183279738
6,2639,17161,62.332085,0.209263418385786,1.11678261187774,0.290938597876574,0.825844014001171,-2.16883595495023,-0.821960721933959,-70.6260914365168,69.8041307145829,68.5680570080929,0.110801526526232,0.0441941738241592,0.353553390593274,9.81491542554877,0.168442114841596,0.128313871221682,68.4572554815666
7,5823,22006,194.976702,0.12902928975379,0.672263148201478,0.137287527057367,0.534975621144109,-2.12302832801706,-1.15991726538142,-49.1457032605013,47.9857859951199,47.0876688320773,0.0649938995930568,0.0220970869120796,0.353553390593274,9.72407104831765,0.101362902940296,0.0810525330917518,47.0226749324842
8,11868,29201,581.313994,0.0970554780894391,0.448769640830713,0.0855752765370475,0.363194364293664,-2.10466939005798,-1.1654948766306,-39.3579932088611,38.1924983322305,37.2999587804371,0.0466349616339783,0.015625,0.25,9.88190836609379,0.0779838864020315,0.0567922554310005,37.2533238188031
9,24246,40266,1984.020042,0.0664546478410908,0.299061506687637,0.0538726096064313,0.245188897081207,-2.0895849620569,-1.31383779907406,-31.6237512039162,30.3099134048421,29.5657167754922,0.0315505336329003,0.0078125,0.25,10.0683865781332,0.0541756672444859,0.0374866028975439,29.5341662418593
10,48425,48225,9829.971682,0.0468635005809249,0.199728305284641,0.0290063079348431,0.170721997349797,-2.08027347584326,-1.3834050849328,-23.7551791811421,22.3717740962093,21.6971447527181,0.0222390474192617,0.0055242717280199,0.25,10.0466099892807,0.0391061289060238,0.0253032309434545,21.6749057052988
11,95865,52868,24346.299604,0.0332004767413371,0.136194112790488,0.0170217444712144,0.119172368319275,-2.07394694547904,-1.42983242429503,-18.673312921231,17.243480496936,16.615278492807,0.0159125170550385,0.00390625,0.25,10.0041184455073,0.027749517019646,0.0177145979029137,16.599365975752
12,187777,56676,53298.549381,0.0242887785894392,0.0928606425028189,0.00874433113449339,0.0841163113683255,-2.06948831027336,-1.51041944111072,-13.9675804688832,12.4571610277725,11.9095460404592,0.0114538818493624,0.00276213586400995,0.25,9.99069357458437,0.0208784954610269,0.0121431653625168,11.8980921586099
13,371556,59370,114618.551548,0.017303807057678,0.0633726876347844,0.00562658858446627,0.0577460990503182,-2.06617934481364,-1.57184631682024,-11.6101727542778,10.0383264374576,9.5521383258538,0.00814491638964254,0.001953125,0.25,9.8349830732141,0.0151242686496654,0.00821875268895194,9.54399340946416
14,737337,60564,197481.196982,0.0120840936485586,0.0433102458939759,0.00406457436077867,0.0392456715331971,-2.06361287010475,-1.66371869134423,-10.1750508138854,8.51133212254121,8.11701638546144,0.00557844168075183,0.00138106793200498,0.25,9.61941854611652,0.0107346347306257,0.0054322727700042,8.11143794378069
