lvl,nrDof,nrIterations,time,eta,etaVol,etaJumps,energy
0,1,3,0.032552,6669911.21043002,6669910.6342993,0.57613071420191,-276.605534010987
1,6,7,0.017413,1423008.58677404,1423007.95735721,0.629416826955217,-506.404679444225
2,17,10,0.00721,399409.620776621,399408.934809705,0.68596691638317,-746.875278588921
3,28,11,0.003841,162343.670702232,162343.071040941,0.599661291002017,-835.057096642184
4,59,31,0.018814,69003.0188616502,69002.5470984121,0.47176323800092,-848.245922969686
5,102,27,0.008448,24759.4725573754,24759.138060863,0.334496512368627,-882.380096797636
6,199,63,0.027581,9638.61395380654,9638.35459496493,0.259358841606168,-903.899991260789
7,326,60,0.031721,4561.05541563833,4560.8424087709,0.213006867424973,-916.257407106662
8,570,52,0.041586,1987.96907535507,1987.77937788561,0.189697469460777,-930.704165170175
9,954,69,0.085837,836.865891204958,836.699081278834,0.1668099261247,-939.109631178199
10,1655,104,0.212671,355.084395804611,354.94210444292,0.142291361691042,-944.94597394778
11,2741,182,0.600503,152.833093883627,152.71555447196,0.117539411666258,-950.162409181715
12,4620,315,1.770756,64.2293876595699,64.1323010463212,0.0970866132485236,-956.161694257391
13,7880,554,5.288123,27.3384691245277,27.2619051540474,0.0765639704803523,-960.320703487616
14,13231,799,13.513617,12.1523664920936,12.0939487184543,0.058417773639275,-963.449483149876
15,22603,1579,50.569232,5.48330933964472,5.44236235900207,0.0409469806426338,-964.844822775294
16,40300,2571,175.224546,2.50850043821133,2.48097629799239,0.0275241402189188,-966.207470096909
