lvl,nrDof,nrIterations,time,eta,etaVol,etaJumps,energy,gleb,diffGlebDiscreteE
0,8,2,0.035094,0.253758548538524,0.253587013474537,0.000171535063986928,0.000661502046567035,0.000549288005499386,0.000112214041067648
1,32,3,0.016006,25.5908787136132,25.5855557421233,0.00532297148991931,0.0210990132596802,0.0196566907622515,0.00144232249742872
2,67,137,0.040997,5.86092735302515,5.85488610502938,0.00604124799577355,0.0173133001005917,0.0164906222458825,0.000822677854709197
3,132,162,0.057258,2.23919618107509,2.23548974000864,0.00370644106644675,0.014342975008692,0.0137539352645855,0.000589039744106529
4,225,168,0.093222,1.00374748881345,1.00110916663113,0.00263832218231935,0.0124090373881541,0.0119660296085071,0.000443007779647012
5,384,165,0.101994,0.623473065065059,0.621320593603615,0.0021524714614443,0.0130728220117861,0.0126715195964812,0.000401302415304968
6,656,168,0.141643,0.360078903235321,0.358434739593397,0.00164416364192478,0.0139876656022139,0.0136308634341694,0.000356802168044528
7,1239,167,0.287348,0.187795885114132,0.186741005053492,0.00105488006063974,0.0143421704151324,0.0140383715530463,0.000303798862086058
8,2170,170,0.43713,0.102319099650459,0.101656510265556,0.000662589384903299,0.0145339089264684,0.0142716107392298,0.000262298187238596
9,4055,169,0.821763,0.0558559885894544,0.0554560732696281,0.000399915319826373,0.0151615797813641,0.0149325627992192,0.000229016982144911
10,7593,170,1.61124,0.0303393995000787,0.0301129171559461,0.000226482344132672,0.0156682586096945,0.0154694496085489,0.000198809001145564
11,13962,170,3.388476,0.0176464542257059,0.0175084364803461,0.000138017745359775,0.0162431517702088,0.0160670699623805,0.000176081807828337
12,24458,168,6.020916,0.0104254188826342,0.0103407877450175,8.46311376168391e-05,0.0169400248895199,0.0167825336402794,0.00015749124924053
13,43897,167,10.654272,0.0061432038781882,0.00609230560915011,5.08982690380491e-05,0.0173802328850326,0.0172403348990311,0.000139897986001478
14,75889,166,20.16955,0.0035912406168894,0.00355827875711654,3.29618597728435e-05,0.0178072032369133,0.0176839941676966,0.000123209069216649
