lvl nrDof nrIterations time error4lvl eta etaVol etaJumps energy gleb
0 8 34 0.114641 2.02221605971107 8.77681783623288 8.77599648142463 0.120071180714018 0.0248107942488693 -11268.4574998875
1 33 111 0.076389 0.758575170473203 5.14916638973897 4.58193178941619 2.34942877873639 -2.85717557025911 -7433.3764526755
2 121 486 0.316786 0.546301308800786 3.12672388590802 2.33242742845397 2.08235072687177 -2.57951610638451 -5199.08497762796
3 387 523 0.59486 0.390456664420959 2.0197766430447 1.32837862445518 1.52148214510703 -2.42243443315166 -3898.54524923863
4 717 509 0.841758 0.304762994199488 1.57151057754985 1.01708868918826 1.1979883528968 -2.25076386553465 -3456.10921556335
5 1367 600 1.887153 0.23036605565931 1.23316441405451 0.679074160702905 1.02934579046891 -2.18272927284196 -2779.53109999522
6 2363 386 1.99372 0.168546762887018 0.969973913454017 0.551425446534633 0.797984567329083 -2.13827674105726 -2535.94533289938
7 5004 375 4.355421 0.133588527395829 0.721677036878673 0.363018899287981 0.623726722465636 -2.09963580207357 -2030.70170521599
8 9541 332 7.178208 0.100683214847179 0.545549783303853 0.295522362931319 0.45857507462832 -2.07553392918402 -1853.5232824513
9 19895 277 13.181194 0.0861309235387364 0.399035269445461 0.203022866156593 0.343527090749732 -2.06131733198885 -1516.2381172643
10 39697 241 48.595259 0.0748180001396513 0.303123743195616 0.156802137651338 0.259416833140975 -2.05377883785887 -1349.67785218456
