lvl energy gleb
0 0.0248107942488693 -11268.4574998875
1 -2.85717557025911 -7433.3764526755
2 -2.57951610638451 -5199.08497762796
3 -2.42243443315166 -3898.54524923863
4 -2.25076386553465 -3456.10921556335
5 -2.18272927284196 -2779.53109999522
6 -2.13827674105726 -2535.94533289938
7 -2.09963580207357 -2030.70170521599
8 -2.07553392918402 -1853.5232824513
9 -2.06131733198885 -1516.2381172643
10 -2.05377883785887 -1349.67785218456
11 -2.04961107620608 -1132.14722633271
12 -2.04672140937947 -998.271742305873
13 -2.04484837730992 -863.390926801383
