lvl nrDof nrIterations time eta etaVol etaJumps energy
0 1 9 0.098204 2623.58030351904 2623.58030351904 0 -273.157301045051
1 6 19 0.034628 1242.08090457882 1242.08072891572 0.660587253083285 -567.720468864859
2 17 22 0.013306 643.943035846761 643.942628360293 0.724428036174125 -749.367456020243
3 28 23 0.015421 385.094000277901 385.093329790101 0.718610609422962 -818.124383906679
4 55 97 0.070529 245.549847789278 245.548956797975 0.661486782527287 -851.583849649688
5 99 88 0.057069 159.84183643469 159.840795066331 0.57698126271709 -882.09510135309
6 183 171 0.139175 109.845843161828 109.844778668415 0.483589929370605 -899.263981233473
7 317 275 0.285517 72.5558273569804 72.5543427807776 0.464141255828183 -914.085732403784
8 518 345 0.4838 46.7725316849913 46.7704716001223 0.438983514124297 -927.452991552443
9 838 447 0.873939 30.8169164022544 30.8141820680903 0.410511897661769 -936.033185936062
10 1436 395 1.340102 20.5243307443696 20.5208487792493 0.378044816730506 -944.279935575511
11 2376 377 2.098288 13.6881272158954 13.6836564475154 0.349818388465054 -949.918138710043
