lvl,nrDof,nrIterations,time,error4lvl,eta,etaVol,etaJumps,energy,gleb,diffGlebDiscreteE
0,8,3,0.097748,0.860482916388663,38250820.3026108,38250818.9585083,1.3441024860856,-16840.536005255,-40357.4565122314,23516.9205069764
1,33,8,0.014455,0.35866126685006,1911156.96268743,1911153.52814432,3.43454310532248,-19923.6488318546,-27199.6899223714,7276.0410905168
2,98,39,0.014251,0.201138542511211,445797.771046824,445795.46052163,2.3105251930765,-20371.6231187272,-24060.1964040639,3688.57328533665
3,116,46,0.014224,0.184494072782996,188139.620785372,188137.701593917,1.91919145515901,-20407.8531076977,-23317.8750627447,2910.02195504703
4,233,121,0.080083,0.123216907165582,44702.2683422886,44701.1609261615,1.10741612709581,-20508.1890936425,-22177.6543620328,1669.46526839036
5,365,61,0.034632,0.0763308026128415,12288.0161304339,12287.3363115086,0.679818925386763,-20551.0119621706,-21491.1846260504,940.172663879781
6,447,116,0.071153,0.0620989552262079,5321.03565400262,5320.47460870379,0.561045298832201,-20561.2587480676,-21250.612227628,689.353479560363
7,755,156,0.139139,0.0425227182302785,1471.59413008817,1471.25842082766,0.335709260508332,-20571.1860166025,-20984.6985519473,413.512535344846
8,1248,126,0.191995,0.0289520534391991,388.276225995453,388.070285020788,0.205940974665132,-20575.7313671655,-20818.6199055885,242.888538422943
9,1748,151,0.289377,0.0214290995419256,151.798742646365,151.655603652038,0.143138994327552,-20578.2732359389,-20743.848963583,165.575727644151
10,2218,195,0.500153,0.015230205716215,48.0490835112861,47.9518455606427,0.0972379506434433,-20579.4124100521,-20683.8489551872,104.43654513505
11,3201,173,0.609962,0.0102330427712423,14.1392940072414,14.0799981910636,0.0592958161778144,-20579.8948513887,-20642.4899846386,62.5951332498553
12,4230,201,1.052097,0.00745074817396061,5.62164147679246,5.57850630721585,0.0431351695766185,-20580.0198278766,-20621.893665761,41.8738378843846
13,5655,234,1.562578,0.00553432292001291,2.18676358937586,2.15698613526626,0.0297774541096115,-20580.1776032852,-20608.7487569053,28.5711536200397
14,7372,245,2.158791,0.00405316998042966,0.890152907455499,0.868931715761211,0.0212211916942857,-20580.2237805925,-20599.746018022,19.5222374295299
15,10733,269,3.447995,0.00287183633500105,0.387956324844938,0.37326328314724,0.0146930416976961,-20580.2904478541,-20593.6151792626,13.3247314084729
16,14843,296,5.376926,0.0019874625242452,0.182751984508515,0.172530226323703,0.0102217581848119,-20580.3167426595,-20589.7041757409,9.38743308132689
17,21258,317,9.461669,0.00144763097568967,0.0938355274327325,0.0862600523202094,0.0075754751125236,-20580.3260847593,-20587.4939010508,7.16781629149045
18,28823,354,13.562113,0.00115059891646569,0.0477731319246235,0.0421399711152389,0.0056331608093843,-20580.3295857274,-20586.040714174,5.71112844665186
19,44157,404,30.241714,0.000793475557450104,0.0259684841071809,0.021663052415383,0.00430543169179789,-20580.3349875684,-20584.8628145793,4.5278270109593
