923	29	1047
924	43	1048
987	646	1064
31	987	1064
161	1122	1353
163	1123	1354
164	1171	1347
592	1213	1370
1177	161	1353
1178	163	1354
1179	40	1326
1180	57	1327
544	594	1217
966	527	1229
592	538	1213
570	916	1320
571	917	1321
40	823	1326
57	827	1327
580	528	1224
1217	594	1372
1232	662	1375
1233	645	1376
1312	389	1392
1313	392	1393
580	1224	1365
593	1227	1371
203	1249	1380
718	1228	1381
728	1265	1377
527	609	1229
1192	568	1426
1193	569	1427
1171	549	1226
1229	609	1431
1250	186	1441
1277	758	1439
1278	759	1440
661	1238	1436
469	1533	1805
19	1557	1844
28	1558	1845
469	1601	1839
470	1545	1841
197	1607	1903
183	1609	1823
196	1572	1902
1545	470	1808
1559	44	1829
1601	183	1834
1533	469	1839
1609	470	1841
1634	19	1844
1635	28	1845
1121	407	1694
1222	611	1760
702	1177	1637
703	1178	1638
966	1229	1772
1503	522	1792
1560	682	1817
1561	683	1818
1562	672	1819
1563	673	1820
1628	19	1634
1629	28	1635
1650	826	1854
1651	870	1855
611	1503	1792
561	1537	1805
719	1560	1817
720	1561	1818
753	1562	1819
850	1471	1735
940	1721	1874
1004	1735	1860
804	1614	1748
805	1615	1749
1002	1748	1858
1003	1749	1859
634	732	1622
635	733	1623
407	852	1694
418	1153	1759
1471	418	1759
1521	508	1724
1522	509	1725
1542	603	1808
1575	710	1899
1576	711	1900
1585	273	1905
1614	634	1622
1615	635	1623
1619	729	1825
1622	732	1827
1623	733	1828
1625	753	1907
1626	754	1908
1639	695	1640
1649	870	1651
1694	852	1872
1707	988	1877
1708	989	1878
1714	826	1650
1724	962	1915
1725	963	1916
1742	1007	1856
1754	1028	1857
1759	1153	1880
470	1542	1808
690	1575	1899
691	1576	1900
269	1622	1827
270	1623	1828
44	1639	1640
44	1640	1829
45	1649	1651
653	1707	1877
654	1708	1878
21	1714	1650
365	1759	1880
78	1959	2318
610	1967	2446
590	1968	2233
591	1969	2234
723	2027	2447
724	2028	2448
725	2029	2449
441	2128	2288
402	2140	2069
410	2141	2071
89	1964	2390
152	2154	2163
142	2165	2379
1962	85	2315
1960	84	2324
1967	610	2323
1984	410	2134
2128	152	2099
2129	142	2379
2140	166	2257
2141	150	2258
2153	89	2390
2154	411	2095
2157	393	2370
2158	394	2371
2165	402	2166
2324	2134	524
2150	2344	714
2151	2345	715
2152	2346	716
2288	2099	824
2381	2100	947
2069	2257	851
2071	2258	855
2160	2390	825
2163	2095	853
2379	2166	839
2134	2324	1984
2344	2150	2038
2345	2151	2039
2346	2152	2040
2099	2288	2128
2100	2381	2130
2257	2069	2140
2258	2071	2141
2390	2160	2153
2095	2163	2154
2166	2379	2165
827	529	2019
1436	735	2196
1392	389	2199
1393	392	2200
1394	383	2201
1395	384	2202
1346	1134	2186
1348	1136	2187
404	1414	2216
406	1416	2217
1283	1032	2255
1284	1033	2256
1320	916	2261
1321	917	2262
1505	928	2174
1506	929	2175
1537	561	2315
280	580	1961
646	987	2023
166	1346	2186
150	1348	2187
768	1375	2207
767	1376	2208
431	1390	2210
432	1391	2211
1346	404	2216
1348	406	2217
1029	1281	2286
1030	1282	2287
926	1697	2312
927	1698	2313
930	1507	2159
603	1542	2318
737	658	2059
740	668	2060
1069	402	2069
951	410	2071
977	229	2150
978	230	2151
979	225	2152
1035	930	2159
1006	411	2160
1019	152	2163
1296	166	2186
1297	150	2187
389	1407	2214
392	1408	2215
1134	1346	2216
1136	1348	2217
1309	441	2288
1961	515	2323
2009	221	2270
2010	222	2271
2011	232	2272
2012	233	2273
2059	237	2277
2060	268	2278
2069	851	2357
2071	855	2359
2150	714	2387
2151	715	2388
2152	716	2389
2160	825	2391
2163	853	2394
2186	1134	2406
2187	1136	2407
2216	1414	2400
2217	1416	2401
2270	221	2422
2271	222	2423
2272	232	2424
2273	233	2425
2277	237	2429
2278	268	2430
2284	767	2434
2285	768	2435
2288	824	2440
610	1961	2323
568	2009	2270
569	2010	2271
572	2011	2272
573	2012	2273
627	2037	2289
658	2032	2059
668	2031	2060
737	2059	2277
740	2060	2278
1084	2065	2353
1085	2066	2354
1086	2067	2355
1087	2068	2356
1069	2069	2357
1070	2070	2358
951	2071	2359
1077	2081	2361
1078	2082	2362
977	2150	2387
978	2151	2388
979	2152	2389
1035	2159	2373
1006	2160	2391
1015	2161	2392
1016	2162	2393
1019	2163	2394
1056	2169	2374
1057	2170	2375
1296	2186	2406
1297	2187	2407
389	2214	2410
392	2215	2411
18	2218	2408
27	2221	2409
1110	2212	2398
1111	2213	2399
1134	2216	2400
1136	2217	2401
1142	2219	2402
1143	2220	2403
1141	2222	2404
1144	2225	2405
1309	2288	2440
663	738	2049
411	1006	2095
152	1019	2099
225	979	2100
229	977	2101
230	978	2102
1064	646	2127
410	951	2134
402	1069	2166
928	1090	2174
929	1091	2175
1335	425	2212
1336	426	2213
166	1296	2257
150	1297	2258
1999	570	2235
2000	571	2236
2001	574	2237
2002	575	2238
2019	610	2446
2023	728	2248
2031	632	2290
2032	633	2291
2009	723	2447
2010	724	2448
2011	725	2449
2049	738	2245
2072	1020	2450
2073	1021	2451
2074	1022	2452
2075	1023	2453
2076	1024	2454
2077	1025	2455
2078	1026	2456
2079	1027	2457
2095	1006	2459
2099	1019	2463
2084	926	2465
2085	927	2466
2100	979	2467
2101	977	2468
2102	978	2469
2117	427	2472
2118	428	2473
2127	646	2476
2134	951	2385
2166	1069	2395
2174	1090	2474
2175	1091	2475
2212	425	2481
2213	426	2482
2219	27	2477
2220	18	2478
2214	1111	2483
2215	1110	2484
2218	1141	2485
2221	1144	2486
2223	1142	2487
2224	1143	2488
2226	1145	2489
2227	1146	2490
2248	1244	2431
2257	1296	2436
2258	1297	2437
517	1963	2243
507	1965	2244
425	1975	2274
426	1976	2275
223	1999	2235
224	2000	2236
235	2001	2237
236	2002	2238
347	2019	2446
646	2023	2248
674	2022	2249
221	2009	2447
222	2010	2448
232	2011	2449
238	2049	2245
651	2057	2284
652	2058	2285
853	2095	2459
824	2099	2463
947	2100	2467
948	2101	2468
949	2102	2469
524	2134	2385
757	2135	2386
839	2166	2395
223	2235	2418
224	2236	2419
235	2237	2420
236	2238	2421
517	2243	2426
507	2244	2427
238	2245	2428
646	2248	2431
674	2249	2432
735	2254	2433
851	2257	2436
855	2258	2437
848	2259	2438
849	2260	2439
425	2274	2412
426	2275	2413
26	2497	3276
26	2509	2497
107	2535	3135
86	2597	3137
621	2599	3533
622	2600	3534
634	2603	2623
350	2608	3295
453	2611	3299
452	2612	3300
312	2617	3066
313	2618	3067
87	2619	3138
151	2584	2634
21	2653	3362
151	2655	3363
31	2664	3348
45	2665	3347
114	2666	3352
115	2667	3353
148	2670	3351
1067	2685	3551
1068	2686	3552
1051	2688	3553
1052	2689	3554
1088	2690	3555
1050	2694	3557
1094	2697	3560
1039	2691	3537
1043	2695	3216
1044	2696	3541
1046	2698	3543
880	2760	3358
881	2761	3359
931	2769	3360
932	2770	3361
383	2782	3237
384	2783	3238
911	2814	3364
100	2852	3409
1183	2867	3574
1184	2868	3575
1413	2890	3585
1334	2913	3600
1310	2886	3571
1311	2887	3572
1384	2920	3579
515	2925	3410
506	2928	3413
881	2938	3417
880	2939	3418
932	2941	3420
933	2830	3421
609	2948	2849
594	2949	2850
100	2958	3383
156	2960	2988
1121	2965	3430
439	2987	3376
404	2996	2842
406	2997	2844
454	2619	3251
623	2597	3252
95	2612	3439
81	2600	3440
86	2724	3444
87	2679	3445
245	3130	3449
1512	3147	3490
309	2931	3517
