lvl,nrDof,nrIterations,time,error4lvl,eta,etaVol,etaJumps,energy,diffDiscExactE,gleb,diffGlebExactE,diffGlebDiscreteE
0,8,54,0.053671,0.873938292010727,15.4106337178643,15.4104688402252,0.000164877639154831,0.000144608448289861,0.36797272006029,-60.6433830293475,60.2755549177355,60.6435276377958
1,33,340,0.07803,0.31130964747218,4.95964692453675,3.62724198306169,1.33240494147506,-0.251086306608526,0.116741805003474,-40.5519156286671,40.1840875170551,40.3008293220586
2,98,1881,0.4949,0.303300832303236,2.58345824370909,1.31951015707005,1.26394808663905,-0.437393267922341,0.0695651563103413,-30.071570693199,29.703742581587,29.6341774252767
3,262,3896,1.678842,0.228800601385133,1.33864401815317,0.638630796168659,0.700013221984508,-0.403661382001026,0.0358332703890264,-25.5002404706497,25.1324123590377,25.0965790886486
4,420,2973,1.737209,0.173489759105159,0.770324951414008,0.290346821666798,0.479978129747211,-0.384698723015525,0.0168706114035245,-20.8873436399655,20.5195155283535,20.5026449169499
5,804,10334,9.874111,0.0986609964646046,0.536184910340251,0.218508645598985,0.317676264741266,-0.393536620203689,0.0257085085916889,-19.3659963390792,18.9981682274672,18.9724597188755
6,1556,17580,31.631671,0.075297161948019,0.339255368409347,0.123937305278523,0.215318063130823,-0.38936738563012,0.0215392740181203,-16.587172203838,16.219344092226,16.1978048182079
7,2874,23180,77.85961,0.0525826097446153,0.209144266733736,0.0759871015075376,0.133157165226199,-0.382800524600936,0.0149724129889365,-14.8984338723473,14.5306057607353,14.5156333477463
8,5763,29897,214.663348,0.0384701255517839,0.126637162951465,0.0408589731319576,0.0857781898195075,-0.378147118253683,0.0103190066416831,-12.7324293164101,12.3646012047981,12.3542821981565
9,11532,40216,647.271129,0.0286282852694264,0.0795551681995452,0.0205296768871563,0.0590254913123888,-0.375511963085515,0.00768385147351525,-10.8730730613467,10.5052449497347,10.4975610982612
10,21612,42458,1480.45328,0.0205639805529771,0.0532531352726745,0.0138533616544549,0.0393997736182196,-0.373071025608948,0.00524291399694821,-9.89583119300413,9.52800308139213,9.52276016739518
11,43300,41004,3579.141202,0.0150611211216473,0.0335893266807307,0.00645752537477974,0.0271318013059506,-0.371592080993668,0.0037639693816679,-8.14335741204641,7.77552930043441,7.77176533105274
12,83777,41285,15230.649062,0.0109097332242514,0.0224826402686893,0.00455395907925622,0.0179286811894329,-0.370306140066756,0.00247802845475575,-7.57354239496015,7.20571428334815,7.2032362548934
13,170770,42043,29054.72809,0.00804117565503196,0.0145840732726705,0.0025849317423266,0.0119991415303439,-0.369506505597294,0.00167839398529412,-6.53067218989302,6.16284407828102,6.16116568429572
14,322922,38853,52369.679311,0.00623590624815066,0.00946609750589897,0.00138852313230747,0.0080775743735915,-0.368957083133181,0.00112897152118119,-5.70044106395742,5.33261295234542,5.33148398082424
15,642712,34277,93554.689846,0.00485215682253566,0.00599559634604357,0.000891310013871293,0.00510428633217227,-0.368516899936723,0.000688788324722966,-5.15740082937306,4.78957271776106,4.78888392943634
16,1202760,20671,72948.887214,0.00391350914306112,0.00359987709604552,0.000439875382272631,0.00316000171377289,-0.368226243855974,0.000398132243973559,-4.32675145924759,3.95892334763559,3.95852521539162
