lvl,nrDof,nrIterations,time,eta,etaVol,etaJumps,energy
0,1,4,0.042625,6848619.23223109,6848619.23223109,0,-276.605534010988
1,6,12,0.026015,1732385.17017141,1732384.7547918,0.415379607187616,-506.40467974061
2,17,19,0.008478,436154.504633573,436153.950933141,0.553700432548678,-746.875279105985
3,28,23,0.009855,127317.089883496,127316.530296194,0.55958730173943,-835.057097590517
4,53,57,0.03094,67963.0220839485,67962.5953610515,0.426722896953139,-849.316124084288
5,105,74,0.035589,26868.6802399807,26868.3733852658,0.306854714806052,-887.358923798843
6,165,115,0.064739,11843.642586351,11843.3771302806,0.265456070388821,-907.054464879945
7,261,157,0.103699,5944.6073406565,5944.36188238811,0.245458268385639,-915.534948058212
8,417,192,0.163355,2781.68026934741,2781.47226067257,0.208008674838478,-927.606636551866
9,660,202,0.23071,1108.15949632978,1107.98063415274,0.178862177032716,-936.33866716482
10,912,226,0.332807,626.56999421763,626.39686556504,0.173128652589966,-939.610721698109
11,1328,290,0.673744,360.052426466263,359.901535201929,0.150891264332772,-943.125155058521
12,1937,196,0.638356,252.362823595112,252.229692994887,0.133130600224243,-947.503453017824
13,2799,235,1.052718,138.867751810232,138.747376512542,0.120375297690433,-951.739622815772
14,3817,452,2.685443,76.4745926402718,76.3665317734273,0.108060866844137,-955.742765840267
15,5141,623,4.921114,50.0709957743739,49.9745749096228,0.0964208647511262,-957.205740478329
16,7117,657,7.116424,31.7672571024505,31.6832919115139,0.0839651909365877,-959.65595650349
17,9583,1034,14.179938,19.474155772239,19.3996312134151,0.0745245588240455,-961.68886872283
18,12264,1211,22.431031,11.9265655832738,11.861232371242,0.0653332120318248,-963.167854721034
19,15773,1469,36.556887,7.63982177579441,7.5827160007939,0.0571057750005208,-964.341618461762
20,19979,1872,60.47983,4.85958877759038,4.81084291125515,0.048745866335236,-965.248922505772
21,24611,1968,79.502784,3.35847003569734,3.31673591407121,0.0417341216261237,-965.790029505274
22,29718,2070,100.557045,2.52909869977,2.49255904377017,0.0365396559998381,-966.172070892051
23,34937,2338,139.138909,1.99582890035324,1.9628362284975,0.0329926718557439,-966.383671328815
24,41410,3789,299.241214,1.72232668343884,1.69278550152235,0.0295411819164861,-966.481050647356
25,50605,4192,431.919516,1.27491240266889,1.24913852929861,0.0257738733702852,-966.904327507713
26,61657,4722,828.879035,0.888641928825752,0.864780738150653,0.0238611906750898,-967.449753940332
