lvl,nrDof,nrIterations,time,eta,etaVol,etaJumps,energy
0,1,4,0.065363,6848619.23223109,6848619.23223109,0,-276.605534010988
1,8,15,0.040049,1045275.51358111,1045275.06266613,0.450914975661675,-554.882818687883
2,40,34,0.026068,106553.448710079,106552.805665081,0.643044998311854,-808.623797198587
3,176,88,0.061355,12827.1211238597,12826.8645592456,0.256564614171051,-894.191611256507
4,736,172,0.299816,2070.72779973789,2070.5274230206,0.20037671728999,-923.363069287617
5,3008,187,1.069651,303.234846562028,303.108806659191,0.126039902838252,-943.871658774717
6,12160,336,7.102391,43.2160120249255,43.1277835801085,0.0882284448172058,-956.413384535858
7,48896,828,124.782643,5.72387659574153,5.67556883101367,0.0483077647278226,-963.981550915498
8,196096,2728,2389.791905,0.936060015252706,0.922897863037915,0.0131621522147915,-966.341487611265
9,785408,7307,35711.823003,0.176775950392902,0.150560310170588,0.0262156402223146,-968.30109957687
