lvl,nrDof,nrIterations,time,eta,etaVol,etaJumps,energy
0,8,120,0.096959,1343.3392503123,1343.08008302918,0.259167283112884,-32.7928319329717
1,32,119,0.059104,213.137770872865,211.26983150817,1.86793936469481,-38.0897587268209
2,112,299,0.155764,27.9103351139602,26.7482281856982,1.16210692826207,-42.1185358744461
3,328,355,0.286933,4.14699979095028,3.50946662736129,0.637533163588991,-44.1239927177602
4,769,891,1.222976,0.922874641766778,0.587284607958077,0.3355900338087,-45.1220988718523
5,1699,2157,5.913851,0.297810982114479,0.12572053515224,0.17209044696224,-45.6190094886054
6,3823,7186,40.771186,0.117371864963217,0.0299192812907634,0.0874525836724541,-45.866844789418
7,10383,22626,322.407005,0.0637385706408945,0.0194977995666882,0.0442407710742062,-45.9891893711243
8,18846,75667,2117.907083,0.0317892902529403,0.00681502722415603,0.0249742630287843,-46.0438576631783
9,37467,212458,12753.285596,0.0184349119034857,0.00510879127124923,0.0133261206322354,-46.0761488759337
10,56541,386029,37290.587982,0.0122887818791794,0.00202591816169997,0.0102628637174792,-46.0828696670516
11,97578,518818,79993.093361,0.00824764853031045,0.00201360211212819,0.00623404641818116,-46.0944245223889
